movie_id,title,year,runtime_minutes,genres,director,imdb_rating,votes,top_cast
1,Princess Mononoke,1997,133,"Adventure; Animation; Fantasy",Hayao Miyazaki,8.3,481263,"Yôji Matsuda; Yuriko Ishida; Yûko Tanaka"
2,The Big Lebowski,1998,117,"Comedy; Crime",Joel Coen,8.1,914343,"Jeff Bridges; John Goodman; Julianne Moore"
3,American History X,1998,119,"Crime; Drama",Tony Kaye,8.5,1269056,"Edward Norton; Edward Furlong; Beverly D'Angelo"
4,Saving Private Ryan,1998,169,"Drama; War",Steven Spielberg,8.6,1630822,"Tom Hanks; Matt Damon; Tom Sizemore"
5,The Matrix,1999,136,"Action; Sci-Fi",Lana Wachowski,8.7,2236585,"Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss"
6,Memento,2000,113,"Drama; Mystery; Thriller",Christopher Nolan,8.4,1429497,"Guy Pearce; Carrie-Anne Moss; Joe Pantoliano"
7,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Adventure; Drama; Fantasy",Peter Jackson,8.9,2196648,"Elijah Wood; Ian McKellen; Orlando Bloom"
8,Monsters Inc.,2001,92,"Adventure; Animation; Comedy",Pete Docter,8.1,1069809,"Billy Crystal; John Goodman; Mary Gibbs"
9,Catch Me If You Can,2002,141,"Biography; Crime; Drama",Steven Spielberg,8.1,1228494,"Leonardo DiCaprio; Tom Hanks; Christopher Walken"
10,The Lord of the Rings: The Two Towers,2002,179,"Adventure; Drama; Fantasy",Peter Jackson,8.8,1947828,"Elijah Wood; Ian McKellen; Viggo Mortensen"
11,The Dark Knight,2008,152,"Action; Crime; Drama",Christopher Nolan,9.1,3151025,"Christian Bale; Heath Ledger; Aaron Eckhart"
12,Inglourious Basterds,2009,153,"Adventure; Drama; War",Quentin Tarantino,8.4,1773002,"Brad Pitt; Diane Kruger; Eli Roth"
13,Toy Story 3,2010,103,"Adventure; Animation; Comedy",Lee Unkrich,8.3,965605,"Tom Hanks; Tim Allen; Joan Cusack"
14,How to Train Your Dragon,2010,98,"Action; Adventure; Animation",Dean DeBlois,8.1,889010,"Jay Baruchel; Gerard Butler; Christopher Mintz-Plasse"
15,Black Swan,2010,108,"Drama; Thriller",Darren Aronofsky,8.0,886054,"Natalie Portman; Mila Kunis; Vincent Cassel"
16,The Avengers,2012,143,"Action; Sci-Fi",Joss Whedon,8.0,1551974,"Robert Downey Jr.; Chris Evans; Scarlett Johansson"
17,Life of Pi,2012,127,"Adventure; Drama; Fantasy",Ang Lee,7.9,698452,"Suraj Sharma; Irrfan Khan; Adil Hussain"
18,The Wolf of Wall Street,2013,180,"Biography; Comedy; Crime",Martin Scorsese,8.2,1775575,"Leonardo DiCaprio; Jonah Hill; Margot Robbie"
19,Interstellar,2014,169,"Adventure; Drama; Sci-Fi",Christopher Nolan,8.7,2503001,"Matthew McConaughey; Anne Hathaway; Jessica Chastain"
20,Jurassic World,2015,124,"Action; Adventure; Sci-Fi",Colin Trevorrow,6.9,726754,"Chris Pratt; Bryce Dallas Howard; Ty Simpkins"
