tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,Cast_and_Crew
tt0119776,"Never Again, Forever","Never Again, Forever",0,1996,60,Documentary,9.2,24,"Pierre Chainet (director), Danae Elon (director), Peter Scherer (composer)"
tt0113758,Man with a Plan,Man with a Plan,0,1996,89,Comedy,8.1,160,"Fred Tuttle (actor), Bill Blachly (actor), Bryan Pfeiffer (actor), Bruce Lyndes (actor), James Wallace (actor), Tom Blachly (actor), Kermit Glines (actor), Euclid Farnham (actor), Priscilla Farnham (actress), Edgar Dodge (actor), John O'Brien (director), John O'Brien (writer), John O'Brien (producer), Richard Morse III (cinematographer), Richard Morse (cinematographer), John O'Brien (cinematographer), John O'Brien (editor)"
tt0117589,Secrets & Lies,Secrets & Lies,0,1996,136,"Comedy,Drama",8,51278,"Timothy Spall (actor), Brenda Blethyn (actress), Phyllis Logan (actress), Claire Rushbrook (actress), Marianne Jean-Baptiste (actress), Elizabeth Berrington (actress), Michele Austin (actress), Lee Ross (actor), Lesley Manville (actress), Ron Cook (actor), Mike Leigh (director), Mike Leigh (writer), Simon Channing Williams (producer), Andrew Dickson (composer), Dick Pope (cinematographer), Jon Gregory (editor), Susie Parriss (casting_director), Paddy Stern (casting_director), Alison Chitty (production_designer)"
tt0122453,Dem deutschen Volke,Dem deutschen Volke,0,1996,98,Documentary,8.7,26,"Friedrich G. Beckhaus (actor), Christo (self), Eberhard Diepgen (self), Jeanne-Claude (self), Rita Süssmuth (self), Jörg Daniel Hissen (director), Wolfram Hissen (director), Jörg Daniel Hissen (writer), Wolfram Hissen (writer), Thomas Mann (writer), Jörg Daniel Hissen (producer), Wolfram Hissen (producer), Cem Oral (composer), Dr. Walker (composer), Michael Hammon (cinematographer), Jörg Daniel Hissen (cinematographer), Wolfram Hissen (cinematographer), Wolfgang Lindig (cinematographer), Götz Filenius (editor), Dirk Grau (editor)"
tt0117421,A Question of Trust,A Question of Trust,0,1996,87,"Drama,Mystery",8.3,15,"Jason Roberts (actor), Rocky Martucci (actor), Jillian Griffiths (actress), Vincent Kalousdian (actor), Jack Celli (actor), Angelo Nargi (actor), Bronwyn Sims (actress), Charley Broderick (actor), Jared Ferrie (actor), Joseph Siciliano (director), Joseph Siciliano (writer), Joseph Siciliano (producer), Cynthia Webster (cinematographer), Michael E. Phillips (editor)"
tt0118098,Voices Through Time,Voci nel tempo,0,1996,86,Drama,8,475,"Patrizio Girardi (actor), Emanuela Cobelli (actress), Laura Carnevali (actress), Alberto Crosato (actor), Mario Piavoli (actor), Laura Strazzi (actress), Luca Scalvedi (actor), Paola Agosti (actress), Mariella Fabbris (actress), Roberto Tarasco (actor), Franco Piavoli (director), Laura Cafiero (producer), Giannandrea Pecorelli (producer), Franco Piavoli (producer), Franco Piavoli (cinematographer), Franco Piavoli (editor)"
tt0116894,Litar kasih,Litar kasih,0,1996,95,"Action,Drama,Romance",8.8,9,"Aishah Atan (actress), Aishah Atan (actor), Mek Habsah (actor), Faizal Hussein (actor), Azlinda Rafar (actress), Azhar Sulaiman (actor), Mk Pak (director), N.D. Lala (writer)"
tt0391931,Diary of a Madman,Dnevnikat na edin lud,0,1996,90,Comedy,8.2,33,"Marius Kurkinsky (actor), Albena Stavreva (actress), Ivo Tonchev (actor), Vyara Kolarova (actress), Radost Kostova (actress), Evgeniy Djurov (actor), Violeta Stefanova (actress), Marius Kurkinsky (director), Nikolay Gogol (writer), Marius Kurkinsky (writer), Kroum Manoilov (producer), Emil Christov (cinematographer)"
tt0116231,The Bandit,Eskiya,0,1996,128,"Crime,Drama",8.1,75225,"Sener Sen (actor), Ugur Yücel (actor), Sermin Hürmeriç (actress), Yesim Salkim (actress), Kamran Usluer (actor), Ülkü Duru (actress), Özkan Ugur (actor), Necdet Mahfi Ayral (actor), Kayhan Yildizoglu (actor), Güven Hokna (actress), Yavuz Turgul (director), Yavuz Turgul (writer), Mine Vargi (producer), Ömer Vargi (producer), Askin Arsunan (composer), Erkan Ogur (composer), Uğur İçbak (cinematographer), Hakan Akol (editor), Burak Arliel (editor), Onur Tan (editor), Rengin Altun (casting_director), Asiye Degirmenci (casting_director)"
tt0117189,No Easy Way,No Easy Way,0,1996,107,Drama,8.7,80,"Alan Boyce (actor), Khandi Alexander (actress), Brandon Hammond (actor), Jermaine Montell (actor), Christina Pickles (actress), Michael Tomlinson (actor), Mary Pat Gleason (actress), Gloria Stroock (actress), Greg Lewis (actor), Chandra Easton (actress), Jeffrey Fine (director), Patrick Tobin (writer), Eileen M. Chambers (producer), Doug Ludwig (producer), Douglas Ludwig (producer), Mark Eitzel (composer), Bruce Kaphan (composer), Steven Douglas Smith (cinematographer), Pamela Raymer (editor), Lynn Stalmaster (casting_director), Brooks Rawlins (production_designer)"
tt0255289,Kaalapani,Kaalapani,0,1996,178,"Action,Drama,History",8.5,5003,"Mohanlal (actor), Mohanlal (actor), Amrish Puri (actor), Prabhu (actor), Tabu (actress), Sreenivasan (actor), Sreenivasan (actor), Vineeth (actor), Tinnu Anand (actor), Cochin Hanifa (actor), Annu Kapoor (actor), Alex Draper (actor), Priyadarshan (director), T. Damodaran (writer), Priyadarshan (writer), Umesh Sharma (writer), R. Mohan (producer), Mohanlal (producer), Ilaiyaraaja (composer), Santosh Sivan (cinematographer)"
tt0129822,Chants of Sand and Stars,Chants de sable et d'√©toiles,0,1996,90,"Documentary,Music",8.9,19,"Ami Flammer (self), Nicolas Klotz (director), Leslie Grunberg (producer), Thierry Knauff (producer), Merav Ktorza (producer), Olivier Mille (producer), Carlo Varini (cinematographer), Scott Stevenson (editor)"
tt0378285,"Madaling mamatay, mahirap mabuhay","Madaling mamatay, mahirap mabuhay",0,1996,113,Action,8.2,23,"Ronnie Ricketts (actor), Mariz (actress), Mark Gil (actor), Dindi Gallardo (actress), German Moreno (actor), Edgar Mande (actor), Ricardo Cepeda (actor), Gino Antonio (actor), Michelle Parton (actress), Alvin Anson (actor), Ronnie Ricketts (director), Ronnie Ricketts (writer), Eric M. Cuatico (producer), Joe Tutanes (cinematographer), Francis J. Vinarao (editor), Danny Javier (production_designer)"
tt0138052,Rats in the Ranks,Rats in the Ranks,0,1996,94,Documentary,8.2,172,"Larry Hand (self), Robin Anderson (director), Bob Connolly (director), Robin Anderson (producer), Bob Connolly (producer), Bob Connolly (cinematographer), Bob Connolly (editor), Ray Thomas (editor)"
tt0378952,Utol,Utol,0,1996,96,"Action,Crime,Drama",8.2,56,"Cesar Montano (actor), Eddie Gutierrez (actor), Alma Concepcion (actress), Victor Neri (actor), Victor Neri (actor), Bing Davao (actor), Dindo Arroyo (actor), Marco Polo Garcia (actor), Roldan Aquino (actor), Pen Medina (actor), Danny Labra (actor), Toto Natividad (director), Ricky Lee (writer), Jerry Lopez Sineneng (writer), Malou N. Santos (producer), Mon Del Rosario (composer), Rudy Diño (cinematographer), Ramon Marcelino (cinematographer), Joyce Bernal (editor), Toto Natividad (editor), Sonny Felix (production_designer), Alex Ochoa (production_designer)"
tt0243381,Leonardo Pareja,Leonardo Pareja,0,1996,117,Documentary,8,21,"Milhem Cortaz (actor), Reginaldo Faria (actor), Otávio Müller (actor), Hitler Mussolini de Moura Pacheco (self), Leonardo Pareja (self), Homero Sabino (self), Regis Faria (director), Regis Faria (producer), Regis Faria (editor)"
tt0432043,Sanctuary: The Movie,Sanctuary: The Movie,0,1996,103,"Crime,Drama",8.1,26,"Masanori Sera (actor), Hiroshi Abe (actor), Naomasa Musaka (actor), Toshiya Nagasawa (actor), Azusa Nakamura (actress), Toshihiko Sakakibara (actor), Takahiro Tamura (actor), Yukio Fuji (director), Buronson (writer), Ryoichi Ikegami (writer), Kanji Yasumoto (writer), Tsugio Sasajima (producer)"
tt0117615,Shall We Dance?,Shall we dansu?,0,1996,136,"Comedy,Drama,Music",7.7,12469,"Kôji Yakusho (actor), Tamiyo Kusakari (actress), Naoto Takenaka (actor), Eri Watanabe (actress), Yû Tokui (actor), Hiromasa Taguchi (actor), Reiko Kusamura (actress), Hideko Hara (actress), Hiroshi Miyasaka (actor), Kunihiko Ida (actor), Masayuki Suô (director), Masayuki Suô (writer), Shôji Masui (producer), Yûji Ogata (producer), Yoshikazu Suo (composer), Naoki Kayano (cinematographer), Jun'ichi Kikuchi (editor), Tetsu Maeda (casting_director), Kyôko Heya (production_designer)"
tt0116708,Joe's So Mean to Josephine,Joe's So Mean to Josephine,0,1996,89,"Crime,Drama,Romance",6.2,344,"Eric Thal (actor), Sarah Polley (actress), Don McKellar (actor), Waneta Storms (actress), Sabrina Grdevich (actress), Jason Cadieux (actor), Dixie Seatle (actress), Semi Chellas (actress), Rachel Luttrell (actress), Jonathon Aiken (actor), Peter Wellington (director), Peter Wellington (writer), Susan Cavan (producer), Ron Sures (composer), Adam Swica (cinematographer), Roushell Goldstein (editor), Jeff Warren (editor), Jon Comerford (casting_director), Christine Sheaks (casting_director), Lisa Lev (production_designer)"
tt0115916,Clubhouse Detectives,Clubhouse Detectives,0,1996,85,"Adventure,Family,Mystery",6.6,471,"Michael Ballam (actor), Michael Galeota (actor), Jimmy Galeota (actor), Suzanne Barnes (actress), Christopher Ball (actor), Thomas Hobson (actor), Alejandro Miranda (actor), Liliana Cabal (actress), James Claffin (actor), Thom Dillon (actor), Eric Hendershot (director), Eric Hendershot (writer), Dickilyn Hendershot (producer), Eric Hendershot (producer), Alan Williams (composer), T.C. Christensen (cinematographer), Michael Amundsen (editor), Steven A. Lee (production_designer)"
tt0116492,A h√°rom test√∂r Afrik√°ban,A h√°rom test√∂r Afrik√°ban,0,1996,84,"Adventure,Comedy,Romance",5.3,334,"Gábor Koncz (actor), Zoltán Rátóti (actor), Béla Stenczer (actor), Ferenc Kállai (actor), István Szilágyi (actor), Zsuzsa Nyertes (actress), Gábor Reviczky (actor), Miklós Benedek (actor), Ferenc Bács (actor), György Korcsmáros (actor), István Bujtor (director), István Bujtor (writer), Jenö Rejtö (writer), István Bujtor (producer), Károly Frenreisz (composer), Buda Gulyás (cinematographer), János Kende (cinematographer), Ferencné Szécsényi (editor), Katalin Juhász (production_designer)"
tt0113313,Hollow Point,Hollow Point,0,1996,102,"Action,Comedy,Crime",5.7,2183,"Thomas Ian Griffith (actor), Tia Carrere (actress), John Lithgow (actor), Donald Sutherland (actor), David Hemblen (actor), Carl Alacchi (actor), Robert Ito (actor), Andreas Apergis (actor), Lisa Bronwyn Moore (actress), Kliment Denchev (actor), Sidney J. Furie (director), Robert Geoffrion (writer), Stewart Harding (writer), Nicolas Clermont (producer), Brahm Wenger (composer), David Franco (cinematographer), Yves Langlois (editor), Rosina Bucci (casting_director), Vera Miller (casting_director), Nadia Rona (casting_director), Gilles Aird (production_designer)"
tt0116081,Des nouvelles du bon Dieu,Des nouvelles du bon Dieu,0,1996,100,Comedy,7.1,518,"Marie Trintignant (actress), Maria de Medeiros (actress), Christian Charmetant (actor), Michel Vuillermoz (actor), Jean Yanne (actor), Isabelle Candelier (actress), Artus de Penguern (actor), Serge Riaboukine (actor), Mathieu Kassovitz (actor), Florence Thomassin (actress), Didier Le Pêcheur (director), Didier Le Pêcheur (writer), Artus de Penguern (writer), Pascal Arnold (writer), Fabrice Coat (producer), Jean-Louis Négro (composer), Gérard Simon (cinematographer), Sylvie Landra (editor), Margarida Roberto (casting_director), Shula Siegfried (casting_director), Patrícia Vasconcelos (casting_director)"
tt0118116,The Trap,Wana,0,1996,106,"Crime,Drama,Mystery",6.7,190,"Masatoshi Nagase (actor), Masatoshi Nagase (actor), Yui Natsukawa (actress), Tomoko Yamaguchi (actress), Kiyotaka Nanbara (actor), Kenji Anan (actor), Hiro Arai (actor), Hachirô Ika (actor), Zen Kajihara (actor), Mai Kitajima (actress), Fumiyo Kohinata (actor), Kaizô Hayashi (director), Kaizô Hayashi (writer), Daisuke Tengan (writer), Yôko Kumagai (composer), Hidehiko Urayama (composer)"
tt0131609,Tama asobi,Tama asobi,0,1996,60,Drama,6.8,17,"Yasuhiro Hashiguchi (actor), Masakuni Ishibashi (actor), Yasuhisa Kiyooka (actor), Hotaru Hazuki (actress), Hiroyuki Oki (director), Akio Nanki (writer), Shinji Komada (producer), Hiroyuki Oki (cinematographer), Naoki Kaneko (editor)"
tt0117001,Mary Jane's Not a Virgin Anymore,Mary Jane's Not a Virgin Anymore,0,1996,98,"Comedy,Drama,Romance",6.1,559,"Lisa Gerstein (actress), Chris Enright (actor), Greg Cruikshank (actor), Beth Allen (actress), Marny Snyder Spoons (actress), Bwana Spoons (actor), Andrew DeAngelo (actor), Shane Kramer (actor), Alicia J. Rose (actress), Davey Havok (actor), Davey Havok (actor), Sarah Jacobson (director), Sarah Jacobson (writer), Sarah Jacobson (producer), Rama Kolesnikow (composer), Adam Dodds (cinematographer), Sarah Jacobson (editor)"
tt0116939,Lulu,Lulu,0,1996,96,Drama,5.6,32,"Kim Lieu (actress), Clark Johnson (actor), Michael Rhoades (actor), Manuel Aranguiz (actor), Peter Breck (actor), Saeed Jaffrey (actor), Nghi Do (actor), Phuong Dan Nguten (actor), Richard Chevolleau (actor), Kay Tremblay (actress), Srinivas Krishna (director), Robert Armstrong (writer), Srinivas Krishna (writer), Robert Bergman (producer), Srinivas Krishna (producer), Leslie Winston (composer), Paul Sarossy (cinematographer), Mike Munn (editor), Tamara Deverell (production_designer)"
