"genre","primarytitle","runtime_minutes","startyear"
"Action","Kaalapani",178,1996
"Adult","Messalina: The Virgin Empress",91,1996
"Adventure","The Lord of the Rings: The Two Towers",179,2002
"Animation","The Tragedy of Man",166,2011
"Biography","Dr. Babasaheb Ambedkar",197,2000
"Comedy","Nuvvu Naaku Nachchav",184,2001
"Crime","The Wolf of Wall Street",180,2013
"Documentary","The Last Pogo Jumps Again",200,2013
"Drama","Dan Kolov - tzaryat na kecha",194,1999
"Family","Jaane Jigar",175,1998
"Fantasy","The Lord of the Rings: The Two Towers",179,2002
"History","Dr. Babasaheb Ambedkar",197,2000
"Horror","Anxiety",130,2008
"Music","The Last Pogo Jumps Again",200,2013
"Musical","Swades",189,2004
"Mystery","Shubho Mahurat",150,2003
"Romance","Nuvvu Naaku Nachchav",184,2001
"Sci-Fi","Interstellar",169,2014
"Sport","Chak De! India",153,2007
"Thriller","Amores Perros",154,2000
"War","Saving Private Ryan",169,1998
