"genre","release_type","movie_count","avg_rating","avg_votes"
"Action","Localized release",8,5.625,13597
"Action","Original release",114,5.461,130978
"Adult","Localized release",1,4.800,131
"Adventure","Localized release",7,5.543,69207
"Adventure","Original release",56,5.939,337039
"Animation","Localized release",8,7.050,97834
"Animation","Original release",18,6.739,325446
"Biography","Localized release",2,8.050,506
"Biography","Original release",31,7.219,134820
"Comedy","Localized release",45,5.844,6458
"Comedy","Original release",221,5.777,46140
"Crime","Localized release",14,5.936,6750
"Crime","Original release",79,5.541,148984
"Documentary","Localized release",14,7.900,808
"Documentary","Original release",109,8.072,533
"Drama","Localized release",89,6.529,13295
"Drama","Original release",336,6.179,69356
"Family","Localized release",8,5.800,929
"Family","Original release",32,5.263,81010
"Fantasy","Localized release",10,6.150,49596
"Fantasy","Original release",23,6.135,256639
"History","Localized release",3,6.767,2573
"History","Original release",11,7.655,10860
"Horror","Localized release",12,5.075,6336
"Horror","Original release",55,4.471,20393
"Music","Localized release",3,8.200,4206
"Music","Original release",28,7.336,6282
"Musical","Localized release",2,6.050,53086
"Musical","Original release",7,5.000,725
"Mystery","Localized release",12,5.592,1260
"Mystery","Original release",36,5.483,45617
"Romance","Localized release",16,5.706,14273
"Romance","Original release",94,6.050,10432
"Sci-Fi","Localized release",2,4.950,2396
"Sci-Fi","Original release",36,5.756,313242
"Sport","Original release",10,6.720,10617
"Thriller","Localized release",14,5.600,20247
"Thriller","Original release",86,5.058,45082
"War","Localized release",3,6.533,123
"War","Original release",10,7.690,342192
