tconst,primaryTitle,genre,genre_rank,averageRating
tt0116894,Litar kasih,Action,3,8.8
tt0279956,Messalina: The Virgin Empress,Adult,1,4.8
tt0442823,Petualangan 100 Jam,Adventure,3,8.8
tt0910970,WALL�?E,Animation,1,8.4
tt0435761,Toy Story 3,Animation,2,8.3
tt0119698,Princess Mononoke,Animation,3,8.3
tt0204839,The Art of Am?�lia,Biography,3,8.5
tt0379304,"Gloria, Gloria Labandera",Comedy,1,9.1
tt0325314,Engaging Peter,Comedy,2,8.9
tt0120586,American History X,Crime,2,8.5
tt0195231,Satya,Crime,3,8.3
tt0972573,Sonia,Documentary,1,9.3
tt0797037,La palomilla salvaje,Documentary,2,9.2
tt0333218,Casi ?�ngeles,Drama,1,9.6
tt0387967,Dbl Rein-Beau,Drama,2,9.3
tt0457685,Nas Correntes de Luz da Ria Formosa,Family,1,8.8
tt0462559,Summer of the Eagle,Family,2,8.7
tt0350612,Uncle Ghost,Family,3,8.5
tt0411759,Planet Ibsen,Fantasy,3,8.6
tt0484037,Gente mala del norte,History,2,8.8
tt0255289,Kaalapani,History,3,8.5
tt0289043,28 Days Later,Horror,1,7.5
tt0856288,Inside,Horror,2,6.7
tt0143263,Haunted School 3,Horror,3,6.7
tt0133157,PNYC: Portishead - Roseland New York,Music,2,8.9
tt0129822,Chants of Sand and Stars,Music,3,8.9
tt0308875,Shaheed-E-Mohabbat Boota Singh,Musical,1,8.3
tt0367110,Swades,Musical,2,8.2
tt0760332,Z: A Zombie Musical,Musical,3,5.3
tt0117421,A Question of Trust,Mystery,2,8.3
tt0424300,Nag-iinit na damdamin,Romance,2,9
tt0816692,Interstellar,Sci-Fi,1,8.7
tt0133093,The Matrix,Sci-Fi,2,8.7
tt0447160,GB: 2525,Sci-Fi,3,8.1
tt0263633,Het laatste Joegoslavische elftal,Sport,2,8.4
tt0133282,Year of the Dogs,Sport,3,8.2
tt0402459,The Quiet Storm,Thriller,1,8.5
tt0120815,Saving Private Ryan,War,1,8.6
tt0139183,Europa: In the Shadow of the Reich,War,2,8.5
tt0361748,Inglourious Basterds,War,3,8.4
