"actor_name","decade","avg_rating_in_top20"
"Noel Appleby","d1",8.900
"Sean Bean","d1",8.900
"Andy Serkis","d1",8.900
"Alan Howard","d1",8.900
"Ian McKellen","d1",8.850
"Sala Baker","d1",8.850
"Elijah Wood","d1",8.850
"Billy Boyd","d1",8.850
"Orlando Bloom","d1",8.850
"Sean Astin","d1",8.850
"Venkatesh Daggubati","d1",8.800
"Joy Badlani","d1",8.800
"Ananth","d1",8.800
"Aarthi Agarwal","d1",8.800
"Suhasini","d1",8.800
"Anjan Srivastav","d1",8.800
"Alisa Bosschaert","d1",8.800
"John Bach","d1",8.800
"Bruce Allpress","d1",8.800
"Cate Blanchett","d1",8.800
"Sonali Kulkarni","d1",8.800
"Mohan Gokhale","d1",8.800
"Ma Jivan Mary","d1",8.800
"Viggo Mortensen","d1",8.800
"Sabyasachi Chakrabarty","d1",8.800
"Mrinal Kulkarni","d1",8.800
"Rahul Solapurkar","d1",8.800
"Mammootty","d1",8.800
"Babu Mohan","d1",8.800
"Tirlok Malik","d1",8.800
"Matt Doran","d1",8.700
"Gloria Foster","d1",8.700
"Keanu Reeves","d1",8.700
"Laurence Fishburne","d1",8.700
"Julian Arahanga","d1",8.700
"Hugo Weaving","d1",8.700
"Belinda McClory","d1",8.700
"Marcus Chong","d1",8.700
"Adam Goldberg","d1",8.600
"Jeremy Davies","d1",8.600
"Edward Burns","d1",8.600
"Matt Damon","d1",8.600
"Barry Pepper","d1",8.600
"Vin Diesel","d1",8.600
"Giovanni Ribisi","d1",8.600
"Ted Danson","d1",8.600
"Tom Sizemore","d1",8.600
"Carrie-Anne Moss","d1",8.550
"Joe Pantoliano","d1",8.550
"Govind Namdeo","d1",8.550
"Chandramohan","d1",8.550
"Edward Furlong","d1",8.500
"Sreelakshmi","d1",8.500
"N.F. Varghese","d1",8.500
"Murali","d1",8.500
"Stacy Keach","d1",8.500
"Beverly D'Angelo","d1",8.500
"Ethan Suplee","d1",8.500
"Tinnu Anand","d1",8.500
"Kaveri","d1",8.500
"Elliott Gould","d1",8.500
"Prabhu","d1",8.500
"Annu Kapoor","d1",8.500
"Jennifer Lien","d1",8.500
"Madhupal","d1",8.500
"William Russ","d1",8.500
"Amrish Puri","d1",8.500
"Suresh Gopi","d1",8.500
"Vineeth","d1",8.500
"Alex Draper","d1",8.500
"Charu Haasan","d1",8.500
"Avery Brooks","d1",8.500
"Sreenivasan","d1",8.500
"Sithara","d1",8.500
"Edward Norton","d1",8.500
"Fairuza Balk","d1",8.500
"Tabu","d1",8.450
"Jorja Fox","d1",8.400
"Rajesh","d1",8.400
"Mark Boone Junior","d1",8.400
"Harriet Sansom Harris","d1",8.400
"Thomas Lennon","d1",8.400
"Gautami","d1",8.400
"Guy Pearce","d1",8.400
"Stephen Tobolowsky","d1",8.400
"Callum Keith Rennie","d1",8.400
"Madhoo","d1",8.400
"Nassar","d1",8.400
"Russ Fega","d1",8.400
