"primarytitle","startyear","averagerating"
"Gloria, Gloria Labandera",1997,9.1
"Engaging Peter",2002,8.9
"Sara",2001,8.8
"Nuvvu Naaku Nachchav",2001,8.8
"Summer of the Eagle",2009,8.7
"Bitters and Blue Ruin",2002,8.7
"A Happy Ending",2005,8.6
"Something Blue",2009,8.5
"Murali Krishnudu",2008,8.5
"Mutual Admiration Society",2002,8.5
"Sheriff",2001,8.5
"The Flying Scissors",2009,8.4
"Mungaru Male",2006,8.4
"The Strange Case of Carl Weber",2006,8.4
"Magnus Opus",2003,8.3
"Manmadhudu",2002,8.3
"Toy Story 3",2010,8.3
"The Wolf of Wall Street",2013,8.2
"Movie Pizza Love",2008,8.2
"Anchor Eddy's",2006,8.2
"Grand Festival",2006,8.2
"Leave It to Chance",2005,8.2
"Snatch",2000,8.2
"Matalino man ang matsing naiisahan din!",2000,8.2
"White Girl Young Pretty",2004,8.2
"Ocean Front Property",2004,8.2
"Bommarillu",2006,8.2
"Love & Support",2001,8.2
"Grilling Bobby Hicks",2009,8.2
"The Wednesday Night Save the World Society",2001,8.2
"Diary of a Madman",1996,8.2
"Pushin' Up Daisies",2010,8.1
"Sexgunsmoney@20",2002,8.1
"Man with a Plan",1996,8.1
"Pousse Cafe",1997,8.1
"Pakisabi na lang... Mahal ko siya",2002,8.1
"Monsters, Inc.",2001,8.1
"Cosy Dens",1999,8.1
"Lock, Stock and Two Smoking Barrels",1998,8.1
"The Tin Mine",2005,8.1
"C.I.D. Moosa",2003,8.1
"Mary and Max",2009,8.1
"Lying Beside You",2001,8.1
"The Big Lebowski",1998,8.1
"Temporary Girl",1998,8
"Secrets & Lies",1996,8
"Nagbibinata",1998,8
"The Pigeon Egg Strategy",1998,8
"Chinthavishtayaya Shyamala",1998,8
"The Wounds",1998,8
"Dil Chahta Hai",2001,8
"Cualquiera",2003,8
"G.O.R.A.",2004,8
"Rama Shama Bhama",2005,8
"RiffRaff",2009,8
"Pox",2011,8
"Lives and Deaths of the Poets",2011,7.7
"Shall We Dance?",1996,7.7
"The Strip",2009,7.7
"The Significant Other",2012,7.6
"Together",2000,7.4
"Socha Na Tha",2005,7.4
"Six Days in the Life of Mims",2004,7.3
"Conversations with Mother",2004,7.3
"Will Not End Here",2008,7.2
"Familia",1996,7.2
"Ant-Man",2015,7.2
"Luna Papa",1999,7.2
"The Gathering!",2003,7.2
"Ici Najac, à vous la terre",2006,7.1
"Des nouvelles du bon Dieu",1996,7.1
"The Croods",2013,7.1
"Screenland Drive",2000,7.1
"Cala, My Dog!",2003,7
"The Life Jacket Is Under Your Seat",1998,6.9
"Between Abril and Julio",2002,6.9
"Punch & Judy",2002,6.9
"Cloudy with a Chance of Meatballs",2009,6.9
"Liar Liar",1997,6.9
"An Angel of the Lord",2005,6.8
"Thanks for the Tip",1997,6.8
"All or Nothing: A Moscow Detour",2004,6.8
"Before We Go",2014,6.8
"The Boxtrolls",2014,6.8
"Sex & Sushi",2006,6.8
"Dorian Blues",2004,6.7
"Les Boys",1997,6.7
"The Brothers Bloom",2008,6.7
"Transeúntes",2015,6.7
"R2PC: Road to Park City",2000,6.6
"Tôkyô gomi onna",2000,6.6
"The Wedding Ringer",2015,6.6
"Act Your Age",2011,6.6
"Blunt Movie",2013,6.6
"Scotland, Pa.",2001,6.6
"Divine Intervention",2002,6.6
"Me Boss, You Sneakers!",1998,6.5
"El hada buena - Una fábula peronista",2010,6.5
"Little Boy Blues",1999,6.5
"Kid Cannabis",2014,6.4
"Il 7 e l'8",2007,6.4
"I'm No Dummy",2009,6.4
"She's Out of My League",2010,6.4
"Bullet Avoids the Fool",2004,6.4
"Mr. Cinderella",2002,6.4
"Gemini",2002,6.3
"Sushi in Suhl",2012,6.3
"Atomic Blue Mexican Wrestler",1999,6.3
"Shall We Dance?",2004,6.2
"Diva... Ah Hey",2003,6.2
"Prime",2005,6.2
"Love Is Eternal While It Lasts",2004,6.2
"Low Self-Esteem Girl",2000,6.2
"Mary Jane's Not a Virgin Anymore",1996,6.1
"Occasional Coarse Language",1998,6.1
"Motello",1998,6
"Heads or Tails",1997,5.9
"A Thousand Words",2012,5.9
"Dinner for Schmucks",2010,5.9
"Ping Pong Playa",2007,5.9
"Escape from Planet Earth",2013,5.8
"Delivering Milo",2001,5.8
"Something Borrowed",2011,5.8
"Mini's First Time",2006,5.8
