"primarytitle","startyear","numvotes","year_avg_votes"
"The Bandit",1996,75225,3256
"Secrets & Lies",1996,51278,3256
"Shall We Dance?",1996,12469,3256
"The Stupids",1996,7610,3256
"Kaalapani",1996,5003,3256
"Princess Mononoke",1997,481263,19809
"Liar Liar",1997,361468,19809
"Neon Genesis Evangelion: The End of Evangelion",1997,75996,19809
"Innocence",1997,22703,19809
"Saving Private Ryan",1998,1630822,92469
"American History X",1998,1269056,92469
"The Big Lebowski",1998,914343,92469
"Lock, Stock and Two Smoking Barrels",1998,648724,92469
"The Celebration",1998,100540,92469
"The Matrix",1999,2236585,52443
"Magnolia",1999,349486,52443
"Memento",2000,1429497,59089
"Snatch",2000,973835,59089
"Amores Perros",2000,272039,59089
"In the Mood for Love",2000,187233,59089
"The Lord of the Rings: The Fellowship of the Ring",2001,2196648,68884
"Monsters, Inc.",2001,1069809,68884
"Dil Chahta Hai",2001,79731,68884
"The Lord of the Rings: The Two Towers",2002,1947828,74954
"Catch Me If You Can",2002,1228494,74954
"28 Days Later",2002,543086,74954
"Lara Croft: Tomb Raider - The Cradle of Life",2003,151446,6744
"The Cat in the Hat",2003,93849,6744
"The Haunted Mansion",2003,61070,6744
"Love Don't Cost a Thing",2003,10309,6744
"Swades",2004,105829,5706
"G.O.R.A.",2004,71396,5706
"Shall We Dance?",2004,52334,5706
"Agent Cody Banks 2: Destination London",2004,16942,5706
"A Home at the End of the World",2004,14347,5706
"Innocence",2004,6959,5706
"Chicken Little",2005,108741,5870
"Land of the Dead",2005,104742,5870
"Prime",2005,43356,5870
"Shooting Dogs",2005,12379,5870
"Socha Na Tha",2005,8275,5870
"Pulse",2006,32181,2885
"Material Girls",2006,23212,2885
"Infamous",2006,18832,2885
"Bommarillu",2006,10869,2885
"Mini's First Time",2006,9062,2885
"The Yacoubian Building",2006,7847,2885
"Dragon Tiger Gate",2006,7437,2885
"Dark Ride",2006,7113,2885
"Mungaru Male",2006,4260,2885
"Wild Seven",2006,3604,2885
"Evan Almighty",2007,162518,12119
"Persepolis",2007,105215,12119
"Chak De! India",2007,91656,12119
"Norbit",2007,87832,12119
"The Condemned",2007,55953,12119
"Inside",2007,48276,12119
"Outlaw",2007,13097,12119
"Code Name: The Cleaner",2007,12532,12119
"The Dark Knight",2008,3151025,96922
"WALL·E",2008,1314009,96922
"Max Payne",2008,133768,96922
"Inglourious Basterds",2009,1773002,54942
"Cloudy with a Chance of Meatballs",2009,283839,54942
"Mary and Max",2009,201142,54942
"Daybreakers",2009,140678,54942
"The Collector",2009,79218,54942
"Toy Story 3",2010,965605,112517
"How to Train Your Dragon",2010,889010,112517
"Black Swan",2010,886054,112517
"The Town",2010,446240,112517
"Salt",2010,342327,112517
"The A-Team",2010,277027,112517
"Machete",2010,209442,112517
"The Last Airbender",2010,180868,112517
"The Chronicles of Narnia: The Voyage of the Dawn Treader",2010,177013,112517
"She's Out of My League",2010,152772,112517
"Dinner for Schmucks",2010,116104,112517
"Hugo",2011,348689,35985
"The Adventures of Tintin",2011,254167,35985
"Hanna",2011,214566,35985
"Puss in Boots",2011,210359,35985
"Jack and Jill",2011,95753,35985
"Red State",2011,69985,35985
"Something Borrowed",2011,67336,35985
"Sanctum",2011,58656,35985
"Samsara",2011,39832,35985
"The Avengers",2012,1551974,114367
"The Amazing Spider-Man",2012,760969,114367
"Life of Pi",2012,698452,114367
"John Carter",2012,298471,114367
"The Wolf of Wall Street",2013,1775575,148541
"Man of Steel",2013,864110,148541
"Dallas Buyers Club",2013,546952,148541
"The Croods",2013,250487,148541
"R.I.P.D.",2013,151150,148541
"Interstellar",2014,2503001,144389
"Godzilla",2014,463308,144389
"Sin City: A Dame to Kill For",2014,178355,144389
"Ant-Man",2015,776995,109344
"Jurassic World",2015,726754,109344
"The Danish Girl",2015,206139,109344
