"director","actor","shared_movies","avg_rating"
"Kazuya Tsurumaki","Megumi Hayashibara",5,7.38
"Hideaki Anno","Megumi Hayashibara",5,7.38
"Peter Jackson","Sala Baker",4,8.88
"Brian Robbins","Eddie Murphy",4,4.70
"Lucy Kostelanetz","Al Berr",3,9.30
"Adam Elliot","Hamish Hughes",3,8.10
"Adam Elliot","Christopher Massey",3,8.10
"Adam Elliot","Daisy Kocher",3,8.10
"Marcell Jankovics","Iván Dengyel",3,8.00
"Marcell Jankovics","Péter Blaskó",3,8.00
"Marcell Jankovics","László Csurka",3,8.00
"Vincent Paronnaud","Gena Rowlands",3,8.00
"Ömer Faruk Sorak","Cem Yılmaz",3,8.00
"Marjane Satrapi","Gena Rowlands",3,8.00
"Marcell Jankovics","Ferenc Borbiczky",3,8.00
"Marcell Jankovics","János Bácskai",3,8.00
"Leland Steigs","Nora Bauer",3,7.70
"Leland Steigs","Greg Coale",3,7.70
"Leland Steigs","John Geoffrion",3,7.70
"Leland Steigs","Bruce Allen Dawson",3,7.70
"Leland Steigs","Sharon Carpenter-Rose",3,7.70
"Mahiro Maeda","Megumi Hayashibara",3,6.90
"Masayuki","Megumi Hayashibara",3,6.90
"Graham Annable","Dee Bradley Baker",3,6.80
"Anthony Stacchi","Dee Bradley Baker",3,6.80
"Cal Brunker","Jason Simpson",3,5.80
"Daniel St. Pierre","Randi Soyland",3,4.90
"Will Finn","Randi Soyland",3,4.90
"James Orr","Matthew Walker",3,4.70
"Mehul Kumar","Satish Shah",3,4.50
"Chris Palzis","Coolio",3,3.40
"Prabhu Deva","Ajay Devgn",3,3.40
"Erik Fleming","Coolio",3,3.40
"Lucy Kostelanetz","Peter Olberg",2,9.30
"Lucy Kostelanetz","Melinda Buckley",2,9.30
"Lucy Kostelanetz","Steve Schrader",2,9.30
"Peter Jackson","Elijah Wood",2,8.85
"Peter Jackson","Sean Astin",2,8.85
"Peter Jackson","Orlando Bloom",2,8.85
"Peter Jackson","Ian McKellen",2,8.85
"Peter Jackson","Billy Boyd",2,8.85
"Mk Pak","Aishah Atan",2,8.80
"Paola Columba","Aldo Goia",2,8.60
"Jonathan Wyche","Justine Eyre",2,8.60
"Paola Columba","Alberto Cracco",2,8.60
"Paola Columba","Cristina Mantis",2,8.60
"Paola Columba","Cristina Cellini",2,8.60
"Paola Columba","Andrea Dugoni",2,8.60
"Steven Spielberg","Giovanni Ribisi",2,8.60
"Paola Columba","Vanessa Gallipoli",2,8.60
"Paola Columba","Pino Rugiano",2,8.60
"Paola Columba","Giovanni Capalbo",2,8.60
"Paola Columba","Fulvio Cauteruccio",2,8.60
"Vijay K. Bhaskar","Chandramohan",2,8.55
"Vijay K. Bhaskar","Tanikella Bharani",2,8.55
"Vijay K. Bhaskar","Brahmanandam",2,8.55
"Connie Field","Shadi Chauke",2,8.50
"Bruno de Almeida","John Ventimiglia",2,8.50
"Priyadarshan","Mohanlal",2,8.50
"Priyadarshan","Sreenivasan",2,8.50
"Mani Ratnam","Aishwarya Rai Bachchan",2,8.40
"Andrew Stanton","Ben Burtt",2,8.40
"Andrew Stanton","Karleen Griffin",2,8.40
"Steven Spielberg","Tom Hanks",2,8.35
"Mahesh Manjrekar","Riaz",2,8.20
"Toto Natividad","Victor Neri",2,8.20
