"primarytitle","startyear","averagerating","numvotes","p25_vote_threshold"
"Casi ángeles",2002,9.6,8,19
"Dbl Rein-Beau",2002,9.3,12,19
"Sonia",2007,9.3,13,19
"The Last Serious Thing",2003,9.2,9,19
"Mere Acquaintance",2003,9,11,19
"Nag-iinit na damdamin",1997,9,13,19
"The Final Journey",2010,8.9,13,19
"Have You Heard from Johannesburg: Fair Play",2010,8.9,16,19
"Rollerboy",2013,8.9,17,19
"Gente mala del norte",2011,8.8,8,19
"Litar kasih",1996,8.8,9,19
"Nas Correntes de Luz da Ria Formosa",1999,8.8,10,19
"Petualangan 100 Jam",2004,8.8,17,19
"Independence",2007,8.7,8,19
"Sat Na Gat",2013,8.7,8,19
"Sangre de jinete",1998,8.7,9,19
"Summer of the Eagle",2009,8.7,11,19
"Swing Man",2000,8.7,13,19
"Bitters and Blue Ruin",2002,8.7,14,19
"Behind Those Eyes",2005,8.7,16,19
"Words from the Heart",2003,8.6,8,19
"The Rescuer",2011,8.6,18,19
"The Privateer",2009,8.5,9,19
"Something Blue",2009,8.5,15,19
"Sheriff",2001,8.5,16,19
"Piedra sobre piedra",2004,8.5,18,19
"Johle und werche",2007,8.4,6,19
"The Ralph Stanley Story",2000,8.4,9,19
"Riding the 9",2003,8.4,12,19
"Pain Within",2007,8.4,12,19
"Pathogen",2006,8.4,17,19
"Turkan Soray: The Camera Is My Love",2001,8.4,17,19
"A Question of Trust",1996,8.3,15,19
"The Stonecutter",2000,8.3,17,19
"Magnus Opus",2003,8.3,18,19
"Grand Festival",2006,8.2,10,19
"Movie Pizza Love",2008,8.2,11,19
"Anchor Eddy's",2006,8.2,11,19
"Matalino man ang matsing naiisahan din!",2000,8.2,11,19
"White Girl Young Pretty",2004,8.2,13,19
"The Orchard",1998,8.2,15,19
"Samba on Your Feet",2005,8.2,16,19
"It's All in a Nights Work",2007,8.1,12,19
"When Children Play in the Sky",2006,8.1,12,19
"Pakisabi na lang... Mahal ko siya",2002,8.1,13,19
"Have You Heard from Johannesburg: The Bottom Line",2010,8.1,14,19
"Sexgunsmoney@20",2002,8.1,14,19
"Roads",2003,8.1,14,19
"Buffalo Bill's Defunct: Stories from the New West",2004,8.1,15,19
"Tahiti",2003,8.1,17,19
"Castells",2006,8.1,18,19
