"primarytitle","startyear","genre","averagerating","numvotes","genre_vote_p80","global_rating_p30"
"The Last Airbender",2010,"Action",3.9,180868,74794,4.80
"The Last Airbender",2010,"Family",3.9,180868,67187,4.80
"Jack and Jill",2011,"Comedy",3.3,95753,6544,4.80
"Jack and Jill",2011,"Family",3.3,95753,67187,4.80
"The Cat in the Hat",2003,"Comedy",4.2,93849,6544,4.80
"The Cat in the Hat",2003,"Family",4.2,93849,67187,4.80
"Norbit",2007,"Comedy",4.3,87832,6544,4.80
"Norbit",2007,"Romance",4.3,87832,5527,4.80
"Scary Movie 5",2013,"Comedy",3.6,83552,6544,4.80
"The Spirit",2008,"Crime",4.7,64221,25932,4.80
"Pulse",2006,"Horror",4.7,32181,4158,4.80
"Pulse",2006,"Thriller",4.7,32181,6712,4.80
"The Flintstones in Viva Rock Vegas",2000,"Comedy",3.8,26883,6544,4.80
"The Flintstones in Viva Rock Vegas",2000,"Romance",3.8,26883,5527,4.80
"Street Fighter: The Legend of Chun-Li",2009,"Crime",3.7,26194,25932,4.80
"Material Girls",2006,"Comedy",4,23212,6544,4.80
"Material Girls",2006,"Romance",4,23212,5527,4.80
"My Soul to Take",2010,"Horror",4.8,22545,4158,4.80
"My Soul to Take",2010,"Mystery",4.8,22545,4600,4.80
"My Soul to Take",2010,"Thriller",4.8,22545,6712,4.80
"Agent Cody Banks 2: Destination London",2004,"Comedy",4.6,16942,6544,4.80
"Cabin Fever 2: Spring Fever",2009,"Horror",4.3,16288,4158,4.80
"Hoodwinked Too! Hood vs. Evil",2011,"Comedy",4.7,14843,6544,4.80
"Code Name: The Cleaner",2007,"Comedy",4.6,12532,6544,4.80
"Extreme Movie",2008,"Comedy",3.7,11977,6544,4.80
"Gallowwalkers",2012,"Drama",3.6,8738,4759,4.80
"The Stupids",1996,"Comedy",4.3,7610,6544,4.80
"Dark Ride",2006,"Horror",4.6,7113,4158,4.80
"Dark Ride",2006,"Thriller",4.6,7113,6712,4.80
"The Courier",2012,"Drama",4.5,5428,4759,4.80
"Jhoom Barabar Jhoom",2007,"Musical",3.7,3654,1769,4.80
"Meet the Deedles",1998,"Sport",4.1,3343,3224,4.80
"Messalina: The Virgin Empress",1996,"Adult",4.8,131,131,4.80
