"genre","relevant","non_relevant","total","pct_relevant"
"Adult",1,0,1,100.0
"Adventure",25,2,27,92.6
"History",5,1,6,83.3
"Animation",7,2,9,77.8
"Crime",46,15,61,75.4
"Sport",6,2,8,75.0
"Mystery",20,7,27,74.1
"Fantasy",17,6,23,73.9
"Biography",11,4,15,73.3
"Musical",5,2,7,71.4
"Family",19,8,27,70.4
"Romance",54,24,78,69.2
"Action",45,21,66,68.2
"Horror",23,12,35,65.7
"Thriller",39,21,60,65.0
"Sci-Fi",12,7,19,63.2
"Comedy",116,76,192,60.4
"Music",11,9,20,55.0
"Drama",155,143,298,52.0
"War",5,7,12,41.7
"Documentary",16,75,91,17.6
