"genre","genre_rank","primaryTitle","averageRating"
"Action",1,"The Dark Knight",9.1
"Action",2,"The Thundering 8th",9.0
"Action",3,"Litar kasih",8.8
"Adult",1,"Messalina: The Virgin Empress",4.8
"Adventure",1,"The Lord of the Rings: The Fellowship of the Ring",8.9
"Adventure",2,"The Lord of the Rings: The Two Towers",8.8
"Adventure",3,"Petualangan 100 Jam",8.8
"Animation",1,"WALL·E",8.4
"Animation",2,"Princess Mononoke",8.3
"Animation",3,"Alien Dreamtime",8.3
"Biography",1,"Dr. Babasaheb Ambedkar",8.8
"Biography",2,"Puskás Hungary",8.6
"Biography",3,"The Art of Amália",8.5
"Comedy",1,"Gloria, Gloria Labandera",9.1
"Comedy",2,"Engaging Peter",8.9
"Comedy",3,"Sara",8.8
"Crime",1,"The Dark Knight",9.1
"Crime",2,"American History X",8.5
"Crime",3,"Satya",8.3
"Documentary",1,"Sonia",9.3
"Documentary",2,"Never Again, Forever",9.2
"Documentary",3,"The Last Serious Thing",9.2
"Drama",1,"Casi ángeles",9.6
"Drama",2,"Dbl Rein-Beau",9.3
"Drama",3,"The Dark Knight",9.1
"Family",1,"Nas Correntes de Luz da Ria Formosa",8.8
"Family",2,"Summer of the Eagle",8.7
"Family",3,"Uncle Ghost",8.5
"Fantasy",1,"The Lord of the Rings: The Fellowship of the Ring",8.9
"Fantasy",2,"The Lord of the Rings: The Two Towers",8.8
"Fantasy",3,"Planet Ibsen",8.6
"History",1,"Dr. Babasaheb Ambedkar",8.8
"History",2,"Gente mala del norte",8.8
"History",3,"Kaalapani",8.5
"Horror",1,"28 Days Later",7.5
"Horror",2,"Haunted School 3",6.7
"Horror",3,"Inside",6.7
"Music",1,"The Last Pogo Jumps Again",9.2
"Music",2,"Chants of Sand and Stars",8.9
"Music",3,"PNYC: Portishead - Roseland New York",8.9
"Musical",1,"Shaheed-E-Mohabbat Boota Singh",8.3
"Musical",2,"Swades",8.2
"Musical",3,"Z: A Zombie Musical",5.3
"Mystery",1,"Memento",8.4
"Mystery",2,"A Question of Trust",8.3
"Mystery",3,"The Orchard",8.2
"Romance",1,"Nag-iinit na damdamin",9.0
"Romance",2,"The Thundering 8th",9.0
"Romance",3,"Litar kasih",8.8
"Sci-Fi",1,"The Matrix",8.7
"Sci-Fi",2,"Interstellar",8.7
"Sci-Fi",3,"GB: 2525",8.1
"Sport",1,"Puskás Hungary",8.6
"Sport",2,"Het laatste Joegoslavische elftal",8.4
"Sport",3,"Year of the Dogs",8.2
"Thriller",1,"The Quiet Storm",8.5
"Thriller",2,"Memento",8.4
"Thriller",3,"The Orchard",8.2
"War",1,"Saving Private Ryan",8.6
"War",2,"Europa: In the Shadow of the Reich",8.5
"War",3,"Three Comrades",8.4
