"actor_name","distinct_genres","total_votes"
"John Goodman",11,5799343
"Carrie-Anne Moss",8,9030389
"Jonah Hill",8,8481309
"Sean Bean",8,6843644
"Bobby Cannavale",8,2529036
"Dennis Hopper",8,375939
"Pat Morita",8,1064
"Tom Hanks",7,9843941
"Anne Hathaway",7,7647435
"Vinnie Jones",7,3475435
"Wallace Shawn",7,3410238
"Jeff Bridges",7,2673504
"Mohanlal",7,73414
"Govind Namdeo",7,61983
"Chris Sarandon",7,5646
"C. Thomas Howell",7,3301
"Matthew McConaughey",6,13929632
"Morgan Freeman",6,9940629
"John Lithgow",6,7515552
"Amy Adams",6,6277812
