"genre","primarytitle","averagerating","trimmed_mean","distance"
"Action","Hell Ride",5,5.086,0.0860
"Adventure","Drop Me a Cat",5.4,5.433,0.0333
"Animation","The Boxtrolls",6.8,6.720,0.0800
"Biography","Love & Mercy",7.4,7.300,0.1000
"Comedy","Kevin & Perry Go Large",5.7,5.685,0.0153
"Crime","Max Payne",5.3,5.299,0.0015
"Documentary","Year of the Dogs",8.2,8.186,0.0144
"Drama","The Countess",6.2,6.202,0.0022
"Family","Good Boy",5.1,5.126,0.0258
"Fantasy","Delivering Milo",5.8,5.748,0.0522
"History","Shooting Dogs",7.6,7.620,0.0200
"Horror","Jack & Diane",4.5,4.488,0.0118
"Music","Tupac Shakur: Thug Angel",7.7,7.618,0.0818
"Musical","Z: A Zombie Musical",5.3,5.014,0.2857
"Mystery","100 Feet",5.4,5.397,0.0028
"Romance","Passengers",5.8,5.865,0.0647
"Sci-Fi","9 Miles Down",5.2,5.152,0.0478
"Sport","Les Boys",6.7,6.813,0.1125
"Thriller","The Black Bible",5,5.010,0.0103
"War","Shooting Dogs",7.6,7.571,0.0286
