"genre","primaryTitle","startYear","runtime","genre_avg","genre_stddev","z_score"
"Action","Kaalapani",1996,178,107.697,22.422,3.135
"Action","Satya",1998,170,107.697,22.422,2.779
"Action","Sanam Teri Kasam",2009,170,107.697,22.422,2.779
"Action","Aaram Thamburan",1997,163,107.697,22.422,2.466
"Action","C.I.D. Moosa",2003,160,107.697,22.422,2.333
"Action","Yeh Dil Aashiqanaa",2002,152,107.697,22.422,1.976
"Action","The Dark Knight",2008,152,107.697,22.422,1.976
"Action","Gemini",2002,150,107.697,22.422,1.887
"Action","Suryam",2004,150,107.697,22.422,1.887
"Action","Malayalimamanu Vanakkam",2002,149,107.697,22.422,1.842
"Action","Namak",1996,148,107.697,22.422,1.797
"Action","Action Jackson",2014,144,107.697,22.422,1.619
"Action","The Avengers",2012,143,107.697,22.422,1.574
"Action","Man of Steel",2013,143,107.697,22.422,1.574
"Action","Supari",2003,142,107.697,22.422,1.53
"Action","Pudhiya Geethai",2003,140,107.697,22.422,1.441
"Action","The Matrix",1999,136,107.697,22.422,1.262
"Action","The Amazing Spider-Man",2012,136,107.697,22.422,1.262
"Action","Nirbhay",1996,135,107.697,22.422,1.218
"Action","Athisayan",2007,135,107.697,22.422,1.218
"Action","John Carter",2012,132,107.697,22.422,1.084
"Action","38. expansiva",1996,85,107.697,22.422,-1.012
"Action","Cactus",2001,85,107.697,22.422,-1.012
"Action","Prisoners of the Sun",2013,85,107.697,22.422,-1.012
"Action","Code Name: The Cleaner",2007,84,107.697,22.422,-1.057
"Action","Hell Ride",2008,84,107.697,22.422,-1.057
"Action","Yes Madam 5",1996,83,107.697,22.422,-1.101
"Action","A Happy Ending",2005,60,107.697,22.422,-2.127
"Adventure","The Lord of the Rings: The Two Towers",2002,179,105.476,22.1,3.327
"Adventure","The Lord of the Rings: The Fellowship of the Ring",2001,178,105.476,22.1,3.282
"Adventure","Interstellar",2014,169,105.476,22.1,2.874
"Adventure","Inglourious Basterds",2009,153,105.476,22.1,2.15
"Adventure","Man of Steel",2013,143,105.476,22.1,1.698
"Adventure","Princess Mononoke",1997,133,105.476,22.1,1.245
"Adventure","John Carter",2012,132,105.476,22.1,1.2
"Adventure","The Cat in the Hat",2003,82,105.476,22.1,-1.062
"Adventure","Chicken Little",2005,81,105.476,22.1,-1.108
"Animation","The Tragedy of Man",2011,166,96.462,18.602,3.738
"Animation","Princess Mononoke",1997,133,96.462,18.602,1.964
"Animation","Alien Dreamtime",2003,60,96.462,18.602,-1.96
"Biography","Dr. Babasaheb Ambedkar",2000,197,111.667,28.923,2.95
"Biography","The Wolf of Wall Street",2013,180,111.667,28.923,2.363
"Biography","George Wallace: Settin' the Woods on Fire",2000,167,111.667,28.923,1.913
"Biography","Catch Me If You Can",2002,141,111.667,28.923,1.014
"Biography","Nema aviona za Zagreb",2012,82,111.667,28.923,-1.026
"Biography","The Last Wright",2008,60,111.667,28.923,-1.786
"Biography","Joseph Smith: Prophet of the Restoration",2011,60,111.667,28.923,-1.786
"Comedy","Nuvvu Naaku Nachchav",2001,184,100.102,19.278,4.352
"Comedy","Dil Chahta Hai",2001,183,100.102,19.278,4.3
"Comedy","Rama Shama Bhama",2005,180,100.102,19.278,4.145
"Comedy","The Wolf of Wall Street",2013,180,100.102,19.278,4.145
"Comedy","Jaane Jigar",1998,175,100.102,19.278,3.885
"Comedy","Bommarillu",2006,170,100.102,19.278,3.626
"Comedy","C.I.D. Moosa",2003,160,100.102,19.278,3.107
"Comedy","Chinthavishtayaya Shyamala",1998,158,100.102,19.278,3.003
"Comedy","Shararat",2002,155,100.102,19.278,2.848
"Comedy","Gemini",2002,150,100.102,19.278,2.588
"Comedy","Malayalimamanu Vanakkam",2002,149,100.102,19.278,2.536
"Comedy","Kitne Door... Kitne Paas",2002,146,100.102,19.278,2.381
"Comedy","Mungaru Male",2006,143,100.102,19.278,2.225
"Comedy","Manmadhudu",2002,142,100.102,19.278,2.173
"Comedy","Bitters and Blue Ruin",2002,140,100.102,19.278,2.07
"Comedy","Jhoom Barabar Jhoom",2007,138,100.102,19.278,1.966
"Comedy","Steppin: The Movie",2009,138,100.102,19.278,1.966
"Comedy","Socha Na Tha",2005,137,100.102,19.278,1.914
"Comedy","Secrets & Lies",1996,136,100.102,19.278,1.862
"Comedy","Shall We Dance?",1996,136,100.102,19.278,1.862
"Comedy","Athisayan",2007,135,100.102,19.278,1.81
"Comedy","Murali Krishnudu",2008,130,100.102,19.278,1.551
"Comedy","The Gathering!",2003,129,100.102,19.278,1.499
"Comedy","Atomic Blue Mexican Wrestler",1999,127,100.102,19.278,1.395
"Comedy","G.O.R.A.",2004,127,100.102,19.278,1.395
"Comedy","Kisse Pyaar Karoon?",2009,123,100.102,19.278,1.188
"Comedy","Kottaram Vaidyan",2004,121,100.102,19.278,1.084
"Comedy","Nagbibinata",1998,120,100.102,19.278,1.032
"Comedy","Sara",2001,120,100.102,19.278,1.032
"Comedy","Pakisabi na lang... Mahal ko siya",2002,120,100.102,19.278,1.032
"Comedy","A Happy Ending",2005,60,100.102,19.278,-2.08
"Crime","The Wolf of Wall Street",2013,180,103.075,18.638,4.127
"Crime","Satya",1998,170,103.075,18.638,3.591
"Crime","The Dark Knight",2008,152,103.075,18.638,2.625
"Crime","Gemini",2002,150,103.075,18.638,2.518
"Crime","Shubho Mahurat",2003,150,103.075,18.638,2.518
"Crime","Supari",2003,142,103.075,18.638,2.088
"Crime","Catch Me If You Can",2002,141,103.075,18.638,2.035
"Crime","The Bandit",1996,128,103.075,18.638,1.337
"Crime","The Town",2010,125,103.075,18.638,1.176
"Crime","Kisse Pyaar Karoon?",2009,123,103.075,18.638,1.069
"Crime","The Robbery",1999,84,103.075,18.638,-1.023
"Crime","Code Name: The Cleaner",2007,84,103.075,18.638,-1.023
"Crime","Aftermath",2013,84,103.075,18.638,-1.023
"Crime","Himmerland",2008,82,103.075,18.638,-1.131
"Crime","The Casino Job",2009,81,103.075,18.638,-1.184
"Documentary","The Last Pogo Jumps Again",2013,200,94.528,24.909,4.234
"Documentary","Gettysburg and Stories of Valor: Civil War Minutes III",2004,180,94.528,24.909,3.431
"Documentary","Soviets Plus Electricity",2002,175,94.528,24.909,3.231
"Documentary","Phish: Live in Vegas",2002,172,94.528,24.909,3.11
"Documentary","George Wallace: Settin' the Woods on Fire",2000,167,94.528,24.909,2.909
"Documentary","Trying to Describe Oneself",2005,165,94.528,24.909,2.829
"Documentary","Ears, Open. Eyeballs, Click.",2005,155,94.528,24.909,2.428
"Documentary","Big City Dick: Richard Peterson's First Movie",2004,129,94.528,24.909,1.384
"Documentary","A Life in the Death of Joe Meek",2013,122,94.528,24.909,1.103
"Documentary","Estamira",2004,121,94.528,24.909,1.063
"Documentary","They Fought Back!",2000,120,94.528,24.909,1.023
"Documentary","Peterka: Leto odlocitve",2003,120,94.528,24.909,1.023
"Documentary","Amazing Journey: The Story of The Who",2007,120,94.528,24.909,1.023
"Documentary","Bury the Hatchet",2010,120,94.528,24.909,1.023
