"genre","release_type","movie_count","avg_rating","avg_votes"
"Action","different",8,5.625,13596
"Action","same",114,5.461,130978
"Adult","different",1,4.8,131
"Adventure","different",7,5.543,69207
"Adventure","same",56,5.939,337039
"Animation","different",8,7.05,97834
"Animation","same",18,6.739,325446
"Biography","different",2,8.05,506
"Biography","same",31,7.219,134820
"Comedy","different",45,5.844,6458
"Comedy","same",221,5.777,46140
"Crime","different",14,5.936,6750
"Crime","same",79,5.541,148984
"Documentary","different",14,7.9,808
"Documentary","same",109,8.072,533
"Drama","different",89,6.529,13295
"Drama","same",336,6.179,69356
"Family","different",8,5.8,929
"Family","same",32,5.262,81010
"Fantasy","different",10,6.15,49596
"Fantasy","same",23,6.135,256639
"History","different",3,6.767,2573
"History","same",11,7.655,10860
"Horror","different",12,5.075,6336
"Horror","same",55,4.471,20393
"Music","different",5,7.34,23758
"Music","same",35,6.869,5171
"Musical","different",2,6.05,53086
"Musical","same",7,5.0,725
"Mystery","different",12,5.592,1260
"Mystery","same",36,5.483,45617
"Romance","different",16,5.706,14273
"Romance","same",94,6.05,10432
"Sci-Fi","different",2,4.95,2396
"Sci-Fi","same",36,5.756,313242
"Sport","same",10,6.72,10617
"Thriller","different",14,5.6,20246
"Thriller","same",86,5.058,45082
"War","different",3,6.533,123
"War","same",10,7.69,342192
