"genre","genre_rank","primarytitle","startyear","averagerating","numvotes","engagement_ratio"
"Action",1,"The Dark Knight",2008,9.1,3151025,346266
"Action",2,"The Matrix",1999,8.7,2236585,257079
"Action",3,"The Avengers",2012,8,1551974,193997
"Action",4,"Man of Steel",2013,7.1,864110,121706
"Action",5,"The Amazing Spider-Man",2012,6.9,760969,110285
"Adult",1,"Messalina: The Virgin Empress",1996,4.8,131,27
"Adventure",1,"Interstellar",2014,8.7,2503001,287701
"Adventure",2,"The Lord of the Rings: The Fellowship of the Ring",2001,8.9,2196648,246814
"Adventure",3,"The Lord of the Rings: The Two Towers",2002,8.8,1947828,221344
"Adventure",4,"Inglourious Basterds",2009,8.4,1773002,211072
"Adventure",5,"WALL·E",2008,8.4,1314009,156430
"Animation",1,"WALL·E",2008,8.4,1314009,156430
"Animation",2,"Monsters, Inc.",2001,8.1,1069809,132075
"Animation",3,"Toy Story 3",2010,8.3,965605,116338
"Animation",4,"How to Train Your Dragon",2010,8.1,889010,109754
"Animation",5,"Princess Mononoke",1997,8.3,481263,57983
"Biography",1,"The Wolf of Wall Street",2013,8.2,1775575,216534
"Biography",2,"Catch Me If You Can",2002,8.1,1228494,151666
"Biography",3,"Dallas Buyers Club",2013,7.9,546952,69234
"Biography",4,"The Danish Girl",2015,7.1,206139,29034
"Biography",5,"Persepolis",2007,8,105215,13152
"Comedy",1,"The Wolf of Wall Street",2013,8.2,1775575,216534
"Comedy",2,"Monsters, Inc.",2001,8.1,1069809,132075
"Comedy",3,"Snatch",2000,8.2,973835,118760
"Comedy",4,"Toy Story 3",2010,8.3,965605,116338
"Comedy",5,"The Big Lebowski",1998,8.1,914343,112882
"Crime",1,"The Dark Knight",2008,9.1,3151025,346266
"Crime",2,"The Wolf of Wall Street",2013,8.2,1775575,216534
"Crime",3,"Catch Me If You Can",2002,8.1,1228494,151666
"Crime",4,"American History X",1998,8.5,1269056,149301
"Crime",5,"Snatch",2000,8.2,973835,118760
"Documentary",1,"Samsara",2011,8.4,39832,4742
"Documentary",2,"Oceans",2008,7.7,10367,1346
"Documentary",3,"Occupation 101",2006,8.1,2679,331
"Documentary",4,"White Light/Black Rain: The Destruction of Hiroshima and Nagasaki",2007,8.2,2549,311
"Documentary",5,"Iraq in Fragments",2006,7.1,1697,239
"Drama",1,"The Dark Knight",2008,9.1,3151025,346266
"Drama",2,"Interstellar",2014,8.7,2503001,287701
"Drama",3,"The Lord of the Rings: The Fellowship of the Ring",2001,8.9,2196648,246814
"Drama",4,"The Lord of the Rings: The Two Towers",2002,8.8,1947828,221344
"Drama",5,"Inglourious Basterds",2009,8.4,1773002,211072
"Family",1,"WALL·E",2008,8.4,1314009,156430
"Family",2,"Hugo",2011,7.5,348689,46492
"Family",3,"The Last Airbender",2010,3.9,180868,46376
"Family",4,"Evan Almighty",2007,5.4,162518,30096
"Family",5,"Jack and Jill",2011,3.3,95753,29016
"Fantasy",1,"The Lord of the Rings: The Fellowship of the Ring",2001,8.9,2196648,246814
"Fantasy",2,"The Lord of the Rings: The Two Towers",2002,8.8,1947828,221344
"Fantasy",3,"Life of Pi",2012,7.9,698452,88412
"Fantasy",4,"Princess Mononoke",1997,8.3,481263,57983
"Fantasy",5,"Liar Liar",1997,6.9,361468,52387
"History",1,"The Stanford Prison Experiment",2015,6.8,48016,7061
"History",2,"Red Tails",2012,5.9,38550,6534
"History",3,"Shooting Dogs",2005,7.6,12379,1629
