"person_name","distinct_genres","genres_covered"
"Christopher Nolan",7,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi, Thriller"
"Jonathan Nolan",7,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi, Thriller"
"Andrew Stanton",6,"Action, Adventure, Animation, Comedy, Family, Sci-Fi"
"Richard Preston Jr.",6,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi"
"Tanveer Khan",6,"Action, Comedy, Drama, Musical, Mystery, Romance"
"Anurag Kashyap",5,"Action, Comedy, Crime, Drama, Musical"
"David S. Goyer",5,"Action, Adventure, Crime, Drama, Sci-Fi"
"Edgar Wright",5,"Action, Adventure, Animation, Comedy, Sci-Fi"
"Gregory Poppen",5,"Action, Adventure, Comedy, Family, Fantasy"
"Joe Cornish",5,"Action, Adventure, Animation, Comedy, Sci-Fi"
"Mark Twain",5,"Action, Adventure, Comedy, Family, Fantasy"
"Chris Sanders",4,"Action, Adventure, Animation, Comedy"
"Frank Miller",4,"Action, Animation, Crime, Fantasy"
"James V. Hart",4,"Action, Adventure, Animation, Fantasy"
"Pete Docter",4,"Adventure, Animation, Comedy, Family"
"Robin Christian",4,"Comedy, Drama, Mystery, Sci-Fi"
"Steve Koren",4,"Comedy, Drama, Family, Fantasy"
"Wes Craven",4,"Horror, Mystery, Sci-Fi, Thriller"
"Yunus Sajawal",4,"Action, Comedy, Crime, Romance"
"Aaron McGruder",3,"Action, Drama, History"
"Aaron Stockard",3,"Crime, Drama, Thriller"
"Abburi Ravi",3,"Comedy, Drama, Romance"
"Adam Balsam",3,"Adventure, Animation, Family"
"Adam Elliot",3,"Animation, Comedy, Drama"
"Adam McKay",3,"Action, Comedy, Sci-Fi"
"Adam Pava",3,"Adventure, Animation, Comedy"
"Aitor Gaizka",3,"Comedy, Family, Romance"
"Ajay Monga",3,"Drama, Horror, Thriller"
"Ajin Panjapan",3,"Biography, Comedy, Drama"
"Akira Nishitani",3,"Action, Crime, Fantasy"
"Alan Snow",3,"Adventure, Animation, Comedy"
"Alec Berg",3,"Adventure, Comedy, Family"
"Aleksandr Borodyanskiy",3,"Biography, Drama, Music"
"Alex Garland",3,"Drama, Horror, Sci-Fi"
"Alexandre Charlot",3,"Fantasy, Horror, Mystery"
"Allen Wolf",3,"Drama, Mystery, Thriller"
"Amanda Silver",3,"Action, Adventure, Sci-Fi"
"Amy Rardin",3,"Comedy, Family, Romance"
"Andrei Romanov",3,"Comedy, Drama, Romance"
"Andrew Goth",3,"Action, Adventure, Drama"
"Andrew Paredes",3,"Comedy, Drama, Romance"
"Andrew Wight",3,"Action, Adventure, Drama"
"Andy Hedden",3,"Action, Crime, Thriller"
"Anthony Hickox",3,"Action, Adventure, Horror"
"Anthony Stacchi",3,"Adventure, Animation, Comedy"
"Anthony Waller",3,"Horror, Mystery, Sci-Fi"
