"primaryTitle","startYear","averageRating","genre","genre_avg","year_avg"
"Casi ángeles",2002,9.6,"Drama",6.252,6.362
"Dbl Rein-Beau",2002,9.3,"Drama",6.252,6.362
"Sonia",2007,9.3,"Documentary",8.053,6.232
"La palomilla salvaje",2006,9.2,"Documentary",8.053,6.312
"Never Again, Forever",1996,9.2,"Documentary",8.053,6.342
"The Last Pogo Jumps Again",2013,9.2,"Documentary",8.053,6.369
"The Last Pogo Jumps Again",2013,9.2,"Music",7.419,6.369
"The Last Serious Thing",2003,9.2,"Documentary",8.053,6.222
"Gloria, Gloria Labandera",1997,9.1,"Comedy",5.789,6.262
"Stossek 68-86",2003,9.1,"Documentary",8.053,6.222
"The Dark Knight",2008,9.1,"Action",5.471,6.162
"The Dark Knight",2008,9.1,"Crime",5.6,6.162
"The Dark Knight",2008,9.1,"Drama",6.252,6.162
"Mere Acquaintance",2003,9.0,"Drama",6.252,6.222
"Nag-iinit na damdamin",1997,9.0,"Drama",6.252,6.262
"Nag-iinit na damdamin",1997,9.0,"Romance",6.0,6.262
"Tamara",2007,9.0,"Documentary",8.053,6.232
"The Thundering 8th",2000,9.0,"Action",5.471,6.352
"The Thundering 8th",2000,9.0,"Drama",6.252,6.352
"The Thundering 8th",2000,9.0,"Romance",6.0,6.352
"Chants of Sand and Stars",1996,8.9,"Documentary",8.053,6.342
"Chants of Sand and Stars",1996,8.9,"Music",7.419,6.342
"Engaging Peter",2002,8.9,"Comedy",5.789,6.362
"Have You Heard from Johannesburg: Fair Play",2010,8.9,"Documentary",8.053,5.895
"PNYC: Portishead - Roseland New York",1997,8.9,"Documentary",8.053,6.262
"PNYC: Portishead - Roseland New York",1997,8.9,"Music",7.419,6.262
"Rollerboy",2013,8.9,"Documentary",8.053,6.369
"The Final Journey",2010,8.9,"Drama",6.252,5.895
"The Lord of the Rings: The Fellowship of the Ring",2001,8.9,"Adventure",5.895,6.234
"The Lord of the Rings: The Fellowship of the Ring",2001,8.9,"Drama",6.252,6.234
"The Lord of the Rings: The Fellowship of the Ring",2001,8.9,"Fantasy",6.139,6.234
"Dr. Babasaheb Ambedkar",2000,8.8,"Biography",7.27,6.352
"Dr. Babasaheb Ambedkar",2000,8.8,"History",7.464,6.352
"Gente mala del norte",2011,8.8,"Drama",6.252,5.751
"Gente mala del norte",2011,8.8,"History",7.464,5.751
"Litar kasih",1996,8.8,"Action",5.471,6.342
"Litar kasih",1996,8.8,"Drama",6.252,6.342
"Litar kasih",1996,8.8,"Romance",6.0,6.342
"Nas Correntes de Luz da Ria Formosa",1999,8.8,"Family",5.37,6.202
"Nuvvu Naaku Nachchav",2001,8.8,"Comedy",5.789,6.234
"Nuvvu Naaku Nachchav",2001,8.8,"Romance",6.0,6.234
"Petualangan 100 Jam",2004,8.8,"Adventure",5.895,6.404
"Petualangan 100 Jam",2004,8.8,"Drama",6.252,6.404
"Pieces of a Dream",2005,8.8,"Drama",6.252,6.33
"Sara",2001,8.8,"Comedy",5.789,6.234
"Sara",2001,8.8,"Drama",6.252,6.234
"Sara",2001,8.8,"Romance",6.0,6.234
"The Lord of the Rings: The Two Towers",2002,8.8,"Adventure",5.895,6.362
"The Lord of the Rings: The Two Towers",2002,8.8,"Drama",6.252,6.362
"The Lord of the Rings: The Two Towers",2002,8.8,"Fantasy",6.139,6.362
"Touching Down",2005,8.8,"Drama",6.252,6.33
"Unfinished Symphony: Democracy and Dissent",2001,8.8,"Documentary",8.053,6.234
"Until Morning",2002,8.8,"Drama",6.252,6.362
"You Saw Me Up There",1998,8.8,"Documentary",8.053,6.292
"Behind Those Eyes",2005,8.7,"Documentary",8.053,6.33
"Bitters and Blue Ruin",2002,8.7,"Comedy",5.789,6.362
"Bury the Hatchet",2010,8.7,"Documentary",8.053,5.895
"Dem deutschen Volke",1996,8.7,"Documentary",8.053,6.342
"Divided We Fall: Americans in the Aftermath",2006,8.7,"Documentary",8.053,6.312
"El escape de los Santos",2005,8.7,"Drama",6.252,6.33
"Independence",2007,8.7,"Drama",6.252,6.232
"Inside the Circle",2007,8.7,"Documentary",8.053,6.232
"Interstellar",2014,8.7,"Adventure",5.895,6.06
"Interstellar",2014,8.7,"Drama",6.252,6.06
"Interstellar",2014,8.7,"Sci-Fi",5.713,6.06
"Land of Confusion",2008,8.7,"Documentary",8.053,6.162
"No Easy Way",1996,8.7,"Drama",6.252,6.342
"Sangre de jinete",1998,8.7,"Action",5.471,6.292
"Sangre de jinete",1998,8.7,"Drama",6.252,6.292
"Sat Na Gat",2013,8.7,"Drama",6.252,6.369
"Summer of the Eagle",2009,8.7,"Comedy",5.789,6.074
"Summer of the Eagle",2009,8.7,"Family",5.37,6.074
"Surviving Friendly Fire",1997,8.7,"Documentary",8.053,6.262
"Swing Man",2000,8.7,"Drama",6.252,6.352
"Texxas Jam '78",2012,8.7,"Documentary",8.053,5.781
"The Completely Remarkable, Utterly Fabulous Transformation of a Regular Joe",2008,8.7,"Romance",6.0,6.162
"The Grasslands",2011,8.7,"Drama",6.252,5.751
"The Healing Passage: Voices from the Water",2004,8.7,"Documentary",8.053,6.404
"The Matrix",1999,8.7,"Action",5.471,6.202
"The Matrix",1999,8.7,"Sci-Fi",5.713,6.202
"The Way",1997,8.7,"Drama",6.252,6.262
"Tootie's Last Suit",2009,8.7,"Documentary",8.053,6.074
"A Happy Ending",2005,8.6,"Action",5.471,6.33
"A Happy Ending",2005,8.6,"Comedy",5.789,6.33
"A Happy Ending",2005,8.6,"Drama",6.252,6.33
"Legami di sangue",2009,8.6,"Drama",6.252,6.074
"Planet Ibsen",2005,8.6,"Fantasy",6.139,6.33
"Puskás Hungary",2009,8.6,"Biography",7.27,6.074
"Puskás Hungary",2009,8.6,"Documentary",8.053,6.074
"Puskás Hungary",2009,8.6,"Sport",6.72,6.074
"Saving Private Ryan",1998,8.6,"Drama",6.252,6.292
"Saving Private Ryan",1998,8.6,"War",7.423,6.292
"The Rescuer",2011,8.6,"Documentary",8.053,5.751
