"genre","relevant","non_relevant","total","pct_relevant"
"Adventure",24,3,27,88.9
"Sport",6,2,8,75.0
"Family",19,8,27,70.4
"Fantasy",16,7,23,69.6
"Biography",10,5,15,66.7
"Romance",52,26,78,66.7
"History",4,2,6,66.7
"Animation",6,3,9,66.7
"Sci-Fi",12,7,19,63.2
"Action",38,28,66,57.6
"Musical",4,3,7,57.1
"Mystery",15,12,27,55.6
"Thriller",32,28,60,53.3
"Crime",32,29,61,52.5
"Comedy",100,92,192,52.1
"Horror",18,17,35,51.4
"Music",10,10,20,50.0
"Drama",126,172,298,42.3
"War",5,7,12,41.7
"Documentary",10,81,91,11.0
"Adult",0,1,1,0.0
