dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
imdb_controlled,mistral_small,sql_detour,imdb_controlled_sql_detour_zero_shot,T01,"Find the top 3 highest-rated movies for each genre, but only include movies that are exclusive to that genre and do not belong to any other genre.",,,0,,,,error: RuntimeError,,,
imdb_controlled,mistral_small,sql_detour,imdb_controlled_sql_detour_zero_shot,T02,"For each year, find movies whose runtime is above the average runtime of that year, then calculate the median runtime among those movies.",,,0,,,,error: RuntimeError,,,
imdb_controlled,mistral_small,sql_detour,imdb_controlled_sql_detour_zero_shot,T03,Find actors who appeared across the widest range of genres and calculate their total number of votes across those movies.,,,0,,,,error: RuntimeError,,,
imdb_controlled,mistral_small,sql_detour,imdb_controlled_sql_detour_zero_shot,T04,"Compute the z-score of numVotes across all movies using population standard deviation. Remove statistical outliers where absolute z-score is greater than 2. On the cleaned set, for each genre, find the movie whose averageRating is closest to, but not equal to, the genre's trimmed mean rating. The trimmed mean should exclude the top 10% and bottom 10% of movies by averageRating within that genre. Return one movie per genre.",,,0,,,,error: RuntimeError,,,
imdb_controlled,mistral_small,sql_detour,imdb_controlled_sql_detour_zero_shot,T05,"Find actors who appear in the top 20 highest-rated movies of the first decade, 1996-2005, but not in the top 20 highest-rated movies of the second decade, 2006-2015, and vice versa. Only consider movies with at least 1000 votes. Return the two disjoint actor sets, along with each actor's average rating across the respective decade's top-20 movies in which they appear.",,,0,,,,error: RuntimeError,,,
imdb_controlled,mistral_small,sql_detour,imdb_controlled_sql_detour_zero_shot,T06,"For each genre, split the comma-separated genres field and report the number of movies and the average rating. Only include genres with at least 10 movies. Order the result by average rating descending.","""genre"",""movie_count"",""avg_rating""
""Documentary"",123,8.05
""History"",14,7.46
""War"",13,7.42
""Music"",31,7.42
""Biography"",33,7.27
""Animation"",26,6.83
""Sport"",10,6.72
""Drama"",425,6.25
""Fantasy"",33,6.14
""Romance"",110,6.00
""Adventure"",63,5.90
""Comedy"",266,5.79
""Sci-Fi"",38,5.71
""Crime"",93,5.60
""Mystery"",48,5.51
""Action"",122,5.47
""Family"",40,5.37
""Thriller"",100,5.13
""Horror"",67,4.58","genre,movie_count,averageRating
Documentary,123,8.05
History,14,7.46
Music,31,7.42
War,13,7.42
Biography,33,7.27
Animation,26,6.83
Sport,10,6.72
Drama,425,6.25
Fantasy,33,6.14
Romance,110,6.0
Adventure,63,5.9
Comedy,266,5.79
Sci-Fi,38,5.71
Crime,93,5.6
Mystery,48,5.51
Action,122,5.47
Family,40,5.37
Thriller,100,5.13
Horror,67,4.58
",0,0.842105,0.842105,0.842105,evaluated,1.113,2357,180
imdb_controlled,mistral_small,sql_detour,imdb_controlled_sql_detour_zero_shot,T07,"For each year from 2011 to 2015, find the single movie with the highest numVotes. Return year, title, and vote count.","""startyear"",""primarytitle"",""numvotes""
2011,""Hugo"",348689
2012,""The Avengers"",1551974
2013,""The Wolf of Wall Street"",1775575
2014,""Interstellar"",2503001
2015,""Ant-Man"",776995","startYear,primaryTitle,numVotes
2011,Hugo,348689
2012,The Avengers,1551974
2013,The Wolf of Wall Street,1775575
2014,Interstellar,2503001
2015,Ant-Man,776995
",1,1.0,1.0,1.0,evaluated,0.827,2354,109
imdb_controlled,mistral_small,sql_detour,imdb_controlled_sql_detour_zero_shot,T08,"Find all Comedy movies whose averageRating is higher than the average rating of all Comedy movies combined. Return title, year, and rating, along with the comedy-wide average for reference.","""primarytitle"",""startyear"",""averagerating""
""Gloria, Gloria Labandera"",1997,9.1
""Engaging Peter"",2002,8.9
""Sara"",2001,8.8
""Nuvvu Naaku Nachchav"",2001,8.8
""Summer of the Eagle"",2009,8.7
""Bitters and Blue Ruin"",2002,8.7
""A Happy Ending"",2005,8.6
""Something Blue"",2009,8.5
""Murali Krishnudu"",2008,8.5
""Mutual Admiration Society"",2002,8.5
""Sheriff"",2001,8.5
""The Flying Scissors"",2009,8.4
""Mungaru Male"",2006,8.4
""The Strange Case of Carl Weber"",2006,8.4
""Magnus Opus"",2003,8.3
""Manmadhudu"",2002,8.3
""Toy Story 3"",2010,8.3
""The Wolf of Wall Street"",2013,8.2
""Movie Pizza Love"",2008,8.2
""Anchor Eddy's"",2006,8.2
""Grand Festival"",2006,8.2
""Leave It to Chance"",2005,8.2
""Snatch"",2000,8.2
""Matalino man ang matsing naiisahan din!"",2000,8.2
""White Girl Young Pretty"",2004,8.2
""Ocean Front Property"",2004,8.2
""Bommarillu"",2006,8.2
""Love & Support"",2001,8.2
""Grilling Bobby Hicks"",2009,8.2
""The Wednesday Night Save the World Society"",2001,8.2
""Diary of a Madman"",1996,8.2
""Pushin' Up Daisies"",2010,8.1
""Sexgunsmoney@20"",2002,8.1
""Man with a Plan"",1996,8.1
""Pousse Cafe"",1997,8.1
""Pakisabi na lang... Mahal ko siya"",2002,8.1
""Monsters, Inc."",2001,8.1
""Cosy Dens"",1999,8.1
""Lock, Stock and Two Smoking Barrels"",1998,8.1
""The Tin Mine"",2005,8.1
""C.I.D. Moosa"",2003,8.1
""Mary and Max"",2009,8.1
""Lying Beside You"",2001,8.1
""The Big Lebowski"",1998,8.1
""Temporary Girl"",1998,8
""Secrets & Lies"",1996,8
""Nagbibinata"",1998,8
""The Pigeon Egg Strategy"",1998,8
""Chinthavishtayaya Shyamala"",1998,8
""The Wounds"",1998,8
""Dil Chahta Hai"",2001,8
""Cualquiera"",2003,8
""G.O.R.A."",2004,8
""Rama Shama Bhama"",2005,8
""RiffRaff"",2009,8
""Pox"",2011,8
""Lives and Deaths of the Poets"",2011,7.7
""Shall We Dance?"",1996,7.7
""The Strip"",2009,7.7
""The Significant Other"",2012,7.6
""Together"",2000,7.4
""Socha Na Tha"",2005,7.4
""Six Days in the Life of Mims"",2004,7.3
""Conversations with Mother"",2004,7.3
""Will Not End Here"",2008,7.2
""Familia"",1996,7.2
""Ant-Man"",2015,7.2
""Luna Papa"",1999,7.2
""The Gathering!"",2003,7.2
""Ici Najac, à vous la terre"",2006,7.1
""Des nouvelles du bon Dieu"",1996,7.1
""The Croods"",2013,7.1
""Screenland Drive"",2000,7.1
""Cala, My Dog!"",2003,7
""The Life Jacket Is Under Your Seat"",1998,6.9
""Between Abril and Julio"",2002,6.9
""Punch & Judy"",2002,6.9
""Cloudy with a Chance of Meatballs"",2009,6.9
""Liar Liar"",1997,6.9
""An Angel of the Lord"",2005,6.8
""Thanks for the Tip"",1997,6.8
""All or Nothing: A Moscow Detour"",2004,6.8
""Before We Go"",2014,6.8
""The Boxtrolls"",2014,6.8
""Sex & Sushi"",2006,6.8
""Dorian Blues"",2004,6.7
""Les Boys"",1997,6.7
""The Brothers Bloom"",2008,6.7
""Transeúntes"",2015,6.7
""R2PC: Road to Park City"",2000,6.6
""Tôkyô gomi onna"",2000,6.6
""The Wedding Ringer"",2015,6.6
""Act Your Age"",2011,6.6
""Blunt Movie"",2013,6.6
""Scotland, Pa."",2001,6.6
""Divine Intervention"",2002,6.6
""Me Boss, You Sneakers!"",1998,6.5
""El hada buena - Una fábula peronista"",2010,6.5
""Little Boy Blues"",1999,6.5
""Kid Cannabis"",2014,6.4
""Il 7 e l'8"",2007,6.4
""I'm No Dummy"",2009,6.4
""She's Out of My League"",2010,6.4
""Bullet Avoids the Fool"",2004,6.4
""Mr. Cinderella"",2002,6.4
""Gemini"",2002,6.3
""Sushi in Suhl"",2012,6.3
""Atomic Blue Mexican Wrestler"",1999,6.3
""Shall We Dance?"",2004,6.2
""Diva... Ah Hey"",2003,6.2
""Prime"",2005,6.2
""Love Is Eternal While It Lasts"",2004,6.2
""Low Self-Esteem Girl"",2000,6.2
""Mary Jane's Not a Virgin Anymore"",1996,6.1
""Occasional Coarse Language"",1998,6.1
""Motello"",1998,6
""Heads or Tails"",1997,5.9
""A Thousand Words"",2012,5.9
""Dinner for Schmucks"",2010,5.9
""Ping Pong Playa"",2007,5.9
""Escape from Planet Earth"",2013,5.8
""Delivering Milo"",2001,5.8
""Something Borrowed"",2011,5.8
""Mini's First Time"",2006,5.8","primaryTitle,startYear,averageRating,comedyAverageRating
""Gloria, Gloria Labandera"",1997,9.1,5.788721804511278
Engaging Peter,2002,8.9,5.788721804511278
Nuvvu Naaku Nachchav,2001,8.8,5.788721804511278
Sara,2001,8.8,5.788721804511278
Bitters and Blue Ruin,2002,8.7,5.788721804511278
Summer of the Eagle,2009,8.7,5.788721804511278
A Happy Ending,2005,8.6,5.788721804511278
Murali Krishnudu,2008,8.5,5.788721804511278
Mutual Admiration Society,2002,8.5,5.788721804511278
Sheriff,2001,8.5,5.788721804511278
Something Blue,2009,8.5,5.788721804511278
Mungaru Male,2006,8.4,5.788721804511278
The Flying Scissors,2009,8.4,5.788721804511278
The Strange Case of Carl Weber,2006,8.4,5.788721804511278
Magnus Opus,2003,8.3,5.788721804511278
Manmadhudu,2002,8.3,5.788721804511278
Toy Story 3,2010,8.3,5.788721804511278
Anchor Eddy's,2006,8.2,5.788721804511278
Bommarillu,2006,8.2,5.788721804511278
Diary of a Madman,1996,8.2,5.788721804511278
Grand Festival,2006,8.2,5.788721804511278
Grilling Bobby Hicks,2009,8.2,5.788721804511278
Leave It to Chance,2005,8.2,5.788721804511278
Love & Support,2001,8.2,5.788721804511278
Matalino man ang matsing naiisahan din!,2000,8.2,5.788721804511278
Movie Pizza Love,2008,8.2,5.788721804511278
Ocean Front Property,2004,8.2,5.788721804511278
Snatch,2000,8.2,5.788721804511278
The Wednesday Night Save the World Society,2001,8.2,5.788721804511278
The Wolf of Wall Street,2013,8.2,5.788721804511278
White Girl Young Pretty,2004,8.2,5.788721804511278
C.I.D. Moosa,2003,8.1,5.788721804511278
Cosy Dens,1999,8.1,5.788721804511278
""Lock, Stock and Two Smoking Barrels"",1998,8.1,5.788721804511278
Lying Beside You,2001,8.1,5.788721804511278
Man with a Plan,1996,8.1,5.788721804511278
Mary and Max,2009,8.1,5.788721804511278
""Monsters, Inc."",2001,8.1,5.788721804511278
Pakisabi na lang... Mahal ko siya,2002,8.1,5.788721804511278
Pousse Cafe,1997,8.1,5.788721804511278
Pushin' Up Daisies,2010,8.1,5.788721804511278
Sexgunsmoney@20,2002,8.1,5.788721804511278
The Big Lebowski,1998,8.1,5.788721804511278
The Tin Mine,2005,8.1,5.788721804511278
Chinthavishtayaya Shyamala,1998,8.0,5.788721804511278
Cualquiera,2003,8.0,5.788721804511278
Dil Chahta Hai,2001,8.0,5.788721804511278
G.O.R.A.,2004,8.0,5.788721804511278
Nagbibinata,1998,8.0,5.788721804511278
Pox,2011,8.0,5.788721804511278
Rama Shama Bhama,2005,8.0,5.788721804511278
RiffRaff,2009,8.0,5.788721804511278
Secrets & Lies,1996,8.0,5.788721804511278
Temporary Girl,1998,8.0,5.788721804511278
The Pigeon Egg Strategy,1998,8.0,5.788721804511278
The Wounds,1998,8.0,5.788721804511278
Lives and Deaths of the Poets,2011,7.7,5.788721804511278
Shall We Dance?,1996,7.7,5.788721804511278
The Strip,2009,7.7,5.788721804511278
The Significant Other,2012,7.6,5.788721804511278
Socha Na Tha,2005,7.4,5.788721804511278
Together,2000,7.4,5.788721804511278
Conversations with Mother,2004,7.3,5.788721804511278
Six Days in the Life of Mims,2004,7.3,5.788721804511278
Ant-Man,2015,7.2,5.788721804511278
Familia,1996,7.2,5.788721804511278
Luna Papa,1999,7.2,5.788721804511278
The Gathering!,2003,7.2,5.788721804511278
Will Not End Here,2008,7.2,5.788721804511278
Des nouvelles du bon Dieu,1996,7.1,5.788721804511278
""Ici Najac, à vous la terre"",2006,7.1,5.788721804511278
Screenland Drive,2000,7.1,5.788721804511278
The Croods,2013,7.1,5.788721804511278
""Cala, My Dog!"",2003,7.0,5.788721804511278
Between Abril and Julio,2002,6.9,5.788721804511278
Cloudy with a Chance of Meatballs,2009,6.9,5.788721804511278
Liar Liar,1997,6.9,5.788721804511278
Punch & Judy,2002,6.9,5.788721804511278
The Life Jacket Is Under Your Seat,1998,6.9,5.788721804511278
All or Nothing: A Moscow Detour,2004,6.8,5.788721804511278
An Angel of the Lord,2005,6.8,5.788721804511278
Before We Go,2014,6.8,5.788721804511278
Sex & Sushi,2006,6.8,5.788721804511278
Thanks for the Tip,1997,6.8,5.788721804511278
The Boxtrolls,2014,6.8,5.788721804511278
Dorian Blues,2004,6.7,5.788721804511278
Les Boys,1997,6.7,5.788721804511278
The Brothers Bloom,2008,6.7,5.788721804511278
Transeúntes,2015,6.7,5.788721804511278
Act Your Age,2011,6.6,5.788721804511278
Blunt Movie,2013,6.6,5.788721804511278
Divine Intervention,2002,6.6,5.788721804511278
R2PC: Road to Park City,2000,6.6,5.788721804511278
""Scotland, Pa."",2001,6.6,5.788721804511278
The Wedding Ringer,2015,6.6,5.788721804511278
Tôkyô gomi onna,2000,6.6,5.788721804511278
El hada buena - Una fábula peronista,2010,6.5,5.788721804511278
Little Boy Blues,1999,6.5,5.788721804511278
""Me Boss, You Sneakers!"",1998,6.5,5.788721804511278
Bullet Avoids the Fool,2004,6.4,5.788721804511278
I'm No Dummy,2009,6.4,5.788721804511278
Il 7 e l'8,2007,6.4,5.788721804511278
Kid Cannabis,2014,6.4,5.788721804511278
Mr. Cinderella,2002,6.4,5.788721804511278
She's Out of My League,2010,6.4,5.788721804511278
Atomic Blue Mexican Wrestler,1999,6.3,5.788721804511278
Gemini,2002,6.3,5.788721804511278
Sushi in Suhl,2012,6.3,5.788721804511278
Diva... Ah Hey,2003,6.2,5.788721804511278
Love Is Eternal While It Lasts,2004,6.2,5.788721804511278
Low Self-Esteem Girl,2000,6.2,5.788721804511278
Prime,2005,6.2,5.788721804511278
Shall We Dance?,2004,6.2,5.788721804511278
Mary Jane's Not a Virgin Anymore,1996,6.1,5.788721804511278
Occasional Coarse Language,1998,6.1,5.788721804511278
Motello,1998,6.0,5.788721804511278
A Thousand Words,2012,5.9,5.788721804511278
Dinner for Schmucks,2010,5.9,5.788721804511278
Heads or Tails,1997,5.9,5.788721804511278
Ping Pong Playa,2007,5.9,5.788721804511278
Delivering Milo,2001,5.8,5.788721804511278
Escape from Planet Earth,2013,5.8,5.788721804511278
Mini's First Time,2006,5.8,5.788721804511278
Something Borrowed,2011,5.8,5.788721804511278
",0,0.0,0.0,0.0,evaluated,0.955,2357,136
imdb_controlled,mistral_small,sql_detour,imdb_controlled_sql_detour_zero_shot,T09,Parse the Cast_and_Crew field to find the 10 people credited as actor or actress in the most movies. Return their name and movie count.,"""person_name"",""movie_count""
""Vinnie Jones"",8
""John Goodman"",6
""Mohanlal"",6
""Brahmanandam"",6
""Dennis Hopper"",5
""Martin Sheen"",4
""Irrfan Khan"",4
""Cochin Hanifa"",4
""Carrie-Anne Moss"",4
""Danny Trejo"",4","primaryName,movie_count
Vinnie Jones,8
Brahmanandam,6
John Goodman,6
Mohanlal,6
Dennis Hopper,5
Carrie-Anne Moss,4
Cochin Hanifa,4
Danny Trejo,4
Irrfan Khan,4
Jennifer Tilly,4
",0,0.9,0.9,0.9,evaluated,1.054,2345,163
imdb_controlled,mistral_small,sql_detour,imdb_controlled_sql_detour_zero_shot,T10,"For each genre, split the comma-separated genres field and find the single movie with the longest runtime. Return genre, title, runtime in minutes, and release year.","""genre"",""primarytitle"",""runtime_minutes"",""startyear""
""Action"",""Kaalapani"",178,1996
""Adult"",""Messalina: The Virgin Empress"",91,1996
""Adventure"",""The Lord of the Rings: The Two Towers"",179,2002
""Animation"",""The Tragedy of Man"",166,2011
""Biography"",""Dr. Babasaheb Ambedkar"",197,2000
""Comedy"",""Nuvvu Naaku Nachchav"",184,2001
""Crime"",""The Wolf of Wall Street"",180,2013
""Documentary"",""The Last Pogo Jumps Again"",200,2013
""Drama"",""Dan Kolov - tzaryat na kecha"",194,1999
""Family"",""Jaane Jigar"",175,1998
""Fantasy"",""The Lord of the Rings: The Two Towers"",179,2002
""History"",""Dr. Babasaheb Ambedkar"",197,2000
""Horror"",""Anxiety"",130,2008
""Music"",""The Last Pogo Jumps Again"",200,2013
""Musical"",""Swades"",189,2004
""Mystery"",""Shubho Mahurat"",150,2003
""Romance"",""Nuvvu Naaku Nachchav"",184,2001
""Sci-Fi"",""Interstellar"",169,2014
""Sport"",""Chak De! India"",153,2007
""Thriller"",""Amores Perros"",154,2000
""War"",""Saving Private Ryan"",169,1998","genre,primaryTitle,runtimeMinutes,startYear
Action,Kaalapani,178,1996
Adult,Messalina: The Virgin Empress,91,1996
Adventure,The Lord of the Rings: The Two Towers,179,2002
Animation,The Tragedy of Man,166,2011
Biography,Dr. Babasaheb Ambedkar,197,2000
Comedy,Nuvvu Naaku Nachchav,184,2001
Crime,The Wolf of Wall Street,180,2013
Documentary,The Last Pogo Jumps Again,200,2013
Drama,Dan Kolov - tzaryat na kecha,194,1999
Family,Jaane Jigar,175,1998
Fantasy,The Lord of the Rings: The Two Towers,179,2002
History,Dr. Babasaheb Ambedkar,197,2000
Horror,Anxiety,130,2008
Music,The Last Pogo Jumps Again,200,2013
Musical,Swades,189,2004
Mystery,Shubho Mahurat,150,2003
Romance,Nuvvu Naaku Nachchav,184,2001
Sci-Fi,Interstellar,169,2014
Sport,Chak De! India,153,2007
Thriller,Amores Perros,154,2000
War,Saving Private Ryan,169,1998
",1,1.0,1.0,1.0,evaluated,1.266,2353,188
