dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T01,"Find the top 3 highest-rated movies for each genre, but only include movies that are exclusive to that genre and do not belong to any other genre.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T02,"For each year, find movies whose runtime is above the average runtime of that year, then calculate the median runtime among those movies.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T03,Find actors who appeared across the widest range of genres and calculate their total number of votes across those movies.,,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T04,"Compute the z-score of numVotes across all movies using population standard deviation. Remove statistical outliers where absolute z-score is greater than 2. On the cleaned set, for each genre, find the movie whose averageRating is closest to, but not equal to, the genre's trimmed mean rating. The trimmed mean should exclude the top 10% and bottom 10% of movies by averageRating within that genre. Return one movie per genre.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T05,"Find actors who appear in the top 20 highest-rated movies of the first decade, 1996-2005, but not in the top 20 highest-rated movies of the second decade, 2006-2015, and vice versa. Only consider movies with at least 1000 votes. Return the two disjoint actor sets, along with each actor's average rating across the respective decade's top-20 movies in which they appear.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T06,"For each genre, split the comma-separated genres field and report the number of movies and the average rating. Only include genres with at least 10 movies. Order the result by average rating descending.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T07,"For each year from 2011 to 2015, find the single movie with the highest numVotes. Return year, title, and vote count.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T08,"Find all Comedy movies whose averageRating is higher than the average rating of all Comedy movies combined. Return title, year, and rating, along with the comedy-wide average for reference.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T09,Parse the Cast_and_Crew field to find the 10 people credited as actor or actress in the most movies. Return their name and movie count.,,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T10,"For each genre, split the comma-separated genres field and find the single movie with the longest runtime. Return genre, title, runtime in minutes, and release year.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T11,"For each release year, find all movies whose numVotes exceed the average numVotes of that year. Return title, year, the movie's votes, and the year's average vote count for reference.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T12,"Count how many movies share each pair of genres that co-occur within the same movie, such as Drama + Comedy. Return the top 10 genre pairs by co-occurrence count.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T13,"Divide all movies into four equal-sized runtime quartiles, from Q1 shortest to Q4 longest, using the global runtime distribution. For each quartile, report the runtime range, movie count, and average rating.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T14,"Parse the Cast_and_Crew field to identify everyone credited as producer. Find producers who worked on more than 3 distinct movies. Return their name and movie count, ordered by count descending.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T15,"For each genre, compute the average and standard deviation of runtime. Return movies whose runtime is more than 1 standard deviation above their genre's average, along with their z-score.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T16,"Separate movies where primaryTitle equals originalTitle from those where they differ. For each genre, compare average rating and average votes between these two groups.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T17,"For each genre, identify the year where the number of movies released grew the most compared to the previous year. Return the genre, peak growth year, the prior-year count, the new count, and the absolute increase.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T18,"Compute an engagement ratio, numVotes divided by averageRating, for each movie. For each genre, return the top 5 movies by this ratio, along with their rank within the genre.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T19,"Parse writers from Cast_and_Crew. For each writer, count how many distinct genres they have written across all their movies. Return the top 10 writers by genre breadth, with the list of genres covered.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T20,"Find movies whose averageRating exceeds both the average rating of all movies in their genre and the average rating of all movies released in their year, simultaneously. Return title, year, rating, genre average, and year average.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T21,"Find people, in any role, who worked on at least one pure Comedy movie and at least one pure Drama movie, but have never worked on a movie that is simultaneously both Comedy and Drama.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T22,"For each year, compute what share of that year's total genre-film credits each genre holds, counting one film with two genres once for each genre. Return genre-year pairs where the share exceeded 40%, with the share percentage.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T23,"Find director-actor pairs who worked together on more than 1 movie. For each pair, report director name, actor name, number of shared films, and the average rating across their collaborations.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T24,"For each genre, find the longest consecutive run of years where every year's average runtime exceeded the genre's all-time average runtime. Report the genre, streak start, streak end, and length.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T25,"Among all movies rated above 8.0, compute the 25th percentile of numVotes within that group. Return movies that exceed the 8.0 rating threshold but fall below that 25th-percentile vote count, as candidates for unreliable high ratings.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T26,Identify movies where at least one person is credited as both writer and director in the same film. Compare the average rating of writer-director movies against movies where no person holds both roles.,,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T27,"For each genre-year combination with at least 5 movies, compute the standard deviation of averageRating as a polarization measure. Return the 3 most polarized and 3 least polarized genre-year pairs.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T28,"Find movies that rank in the top 20% by numVotes within their genre, yet fall in the bottom 30% of averageRating globally. These films are widely seen but poorly received.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T29,"For every producer-director pair who collaborated on at least 2 movies, count how many distinct genres their shared work spans. Return the top 5 pairs by genre versatility, with their shared movie count.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T30,"For movies released before 2008, label each movie as relevant if its numVotes exceeds the median numVotes of all movies from its release year. Then compute, for each genre, what percentage of movies in that genre carry the relevant label.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T01,"Find the top 3 highest-rated movies for each genre, but only include movies that are exclusive to that genre and do not belong to any other genre.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T02,"For each year, find movies whose runtime is above the average runtime of that year, then calculate the median runtime among those movies.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T03,Find actors who appeared across the widest range of genres and calculate their total number of votes across those movies.,,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T04,"Compute the z-score of numVotes across all movies using population standard deviation. Remove statistical outliers where absolute z-score is greater than 2. On the cleaned set, for each genre, find the movie whose averageRating is closest to, but not equal to, the genre's trimmed mean rating. The trimmed mean should exclude the top 10% and bottom 10% of movies by averageRating within that genre. Return one movie per genre.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T05,"Find actors who appear in the top 20 highest-rated movies of the first decade, 1996-2005, but not in the top 20 highest-rated movies of the second decade, 2006-2015, and vice versa. Only consider movies with at least 1000 votes. Return the two disjoint actor sets, along with each actor's average rating across the respective decade's top-20 movies in which they appear.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T06,"For each genre, split the comma-separated genres field and report the number of movies and the average rating. Only include genres with at least 10 movies. Order the result by average rating descending.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T07,"For each year from 2011 to 2015, find the single movie with the highest numVotes. Return year, title, and vote count.",,,0,,,,error: KeyError,,,
imdb_controlled,nemotron,sql_detour,imdb_controlled_sql_detour_zero_shot,T08,"Find all Comedy movies whose averageRating is higher than the average rating of all Comedy movies combined. Return title, year, and rating, along with the comedy-wide average for reference.",,,0,,,,error: KeyError,,,
