dataset,model,mode,prompt_style,question_id,question,ground_truth,model_response,exact_match,row_f1,precision,recall,eval_status,latency_seconds,input_tokens,output_tokens
music_structured,nemotron,llm_only,zero_shot,Q0001,Which artist has the highest popularity score and how many albums have they released?,The Ortegas 1.0 10 albums,"Rodriguezx, 1",0,0.0,0.0,0.0,evaluated,314.836,16432,10821
music_structured,nemotron,llm_only,zero_shot,Q0002,What is the average track duration in minutes across all tracks?,4.74 minutes,NA,0,0.0,0.0,0.0,evaluated,79.209,16740,715
music_structured,nemotron,llm_only,zero_shot,Q0003,Which music genre has the most artists and how many?,Hip-Hop 42 artists,,0,0.0,0.0,0.0,evaluated,60.973,,
music_structured,nemotron,llm_only,zero_shot,Q0004,What percentage of artists are currently active?,84.69%,NA,0,0.0,0.0,0.0,evaluated,113.898,16425,280
music_structured,nemotron,llm_only,zero_shot,Q0005,How many tracks have explicit content?,6 tracks,,0,0.0,0.0,0.0,evaluated,56.221,,
music_structured,nemotron,llm_only,zero_shot,Q0006,Which record label has signed the most artists?,Gray-Mayo Entertainment 10,LBL_0007 (Doyle Ltd Records),0,0.0,0.0,0.0,evaluated,346.706,16426,11333
music_structured,nemotron,llm_only,zero_shot,Q0007,What is the average number of tracks per album for each genre?,Jazz 2.0,NA,0,0.0,0.0,0.0,evaluated,90.196,16741,708
music_structured,nemotron,llm_only,zero_shot,Q0008,Which artists have won at least one award and how many awards have they won in total?,6 artists Ortegas=12,NA,0,0.0,0.0,0.0,evaluated,97.332,16435,1870
music_structured,nemotron,llm_only,zero_shot,Q0009,"What is the distribution of album types (Single, EP, Album) by record label type (Major, Independent)?",10 combinations,,0,0.0,0.0,0.0,evaluated,47.699,,
music_structured,nemotron,llm_only,zero_shot,Q0010,Which artists have tracks in multiple albums and how many albums do they have?,3 artists,"ART_0437 (5 albums), The Bryants (2), The Gonzalezs (2), Alex Spencer (2), The Turners (2), Amy Russell (2), Emily Newton (2), Jack King (2), ART_0438 (2)",0,0.0,0.0,0.0,evaluated,477.506,16432,12042
music_structured,nemotron,llm_only,zero_shot,Q0011,What is the average speechiness score for explicit vs non-explicit tracks?,Explicit 0.103 Non 0.161,,0,0.0,0.0,0.0,evaluated,61.466,,
music_structured,nemotron,llm_only,zero_shot,Q0012,"Calculate the ""musical diversity score"" for each artist based on the variance of their track features (energy, danceability, valence). Which artist has the highest diversity?",David Davis 0.126,NA,0,0.0,0.0,0.0,evaluated,86.909,16451,952
